Sample	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
zr3644_4_L0-0.4_PE_report	12949.0	51.796
zr3644_4_L0-0.6_PE_report	14741.0	58.964000000000006
zr3644_4_L0-0.8_PE_report	15874.0	63.495999999999995
zr3644_4_L0-1.0_PE_report	16615.0	66.46
zr3644_4_PE_report	31176029.0	63.22936801031788
zr3644_5_L-1-0.6_PE_report	14804.0	59.216
zr3644_5_L0-0.4_PE_report	12910.0	51.64
zr3644_5_L0-0.6_PE_report	14750.0	59.0
zr3644_5_L0-0.8_PE_report	15750.0	63.0
zr3644_5_L0-1.0_PE_report	16538.0	66.152
zr3644_5_PE_report	27837293.0	63.14651625083001
zr3644_6_L-1-0.6_PE_report	14984.0	59.936
zr3644_6_L0-0.4_PE_report	13120.0	52.480000000000004
zr3644_6_L0-0.6_PE_report	14916.0	59.663999999999994
zr3644_6_L0-0.8_PE_report	16021.0	64.084
zr3644_6_L0-1.0_PE_report	16777.0	67.108
zr3644_6_PE_report	33775198.0	63.51728589999931
zr3644_7_L-1-0.6_PE_report	14717.0	58.867999999999995
zr3644_7_L0-0.4_PE_report	12819.0	51.275999999999996
zr3644_7_L0-0.6_PE_report	14651.0	58.604
zr3644_7_L0-0.8_PE_report	15701.0	62.804
zr3644_7_L0-1.0_PE_report	16496.0	65.984
zr3644_7_PE_report	51365021.0	62.96835846490843
zr3644_8_L-1-0.6_PE_report	14765.0	59.06
zr3644_8_L0-0.4_PE_report	12876.0	51.504000000000005
zr3644_8_L0-0.6_PE_report	14707.0	58.828
zr3644_8_L0-0.8_PE_report	15773.0	63.092000000000006
zr3644_8_L0-1.0_PE_report	16575.0	66.3
zr3644_8_PE_report	26624704.0	62.88778485973624
zr3644_9_L-1-0.6_PE_report	14814.0	59.256
zr3644_9_L0-0.4_PE_report	13062.0	52.248000000000005
zr3644_9_L0-0.6_PE_report	14742.0	58.967999999999996
zr3644_9_L0-0.8_PE_report	15781.0	63.124
zr3644_9_L0-1.0_PE_report	16521.0	66.084
zr3644_9_PE_report	29912869.0	62.87694883293099
