Data File Name,High Sensitivity DNA Assay_2018-10-10_11-18-40 (1).xad
Data File Path,C:\Users\srlab\Downloads
Date Created,"Wednesday, October 10, 2018 11:18:40 AM"
Date Last Modified,"Wednesday, October 10, 2018 11:57:10 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,10
 
Sample Name,1-T3
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
729,17.82,37.1,,5.5,91.80,8.5,0.8,0.8,6.1
830,25.57,46.7,,8.3,93.19,10.5,0.9,1.2,9.1
"1,024",48.98,72.4,,17.7,95.69,16.3,1.2,2.4,18.8
"1,193",35.60,45.2,,13.3,96.70,19.9,0.7,1.8,13.9
"1,514",60.29,60.3,,23.9,98.63,26.5,1.0,3.2,24.5
"1,667",56.94,51.8,,23.2,99.54,29.4,0.8,3.0,23.6
"1,827",76.83,63.7,,32.3,100.50,32.8,1.0,4.2,32.5
"2,214",91.31,62.5,,39.8,102.18,37.9,1.1,5.0,39.3
"2,862",110.00,58.2,,48.8,104.15,45.4,1.1,6.1,47.3
"3,049",69.05,34.3,,30.8,104.63,45.4,0.7,3.8,29.6
"3,688",65.74,27.0,,29.4,105.45,47.5,0.6,3.6,28.1
"4,177",70.61,25.6,,31.6,106.08,48.7,0.7,3.9,30.1
"4,742",85.49,27.3,,38.4,106.80,47.8,0.8,4.7,36.3
"5,720",82.23,21.8,,37.1,108.05,45.4,0.8,4.4,34.6
"7,440",403.86,82.3,,186.0,110.12,105.2,3.1,21.7,170.0
"10,380",75.00,10.9,Upper Marker,37.6,113.00,34.4,1.2,0.0,33.4
"12,144",0.00,0.0,,16.7,114.73,28.1,0.6,0.0,14.6
"12,928",0.00,0.0,,18.0,115.50,28.1,0.7,0.0,15.6
"13,467",0.00,0.0,,22.3,116.03,25.2,0.9,0.0,19.3
"14,644",0.00,0.0,,15.6,117.18,24.2,0.7,0.0,13.4
"15,820",0.00,0.0,,13.9,118.34,22.0,0.7,0.0,11.8
"16,604",0.00,0.0,,14.6,119.11,19.7,0.8,0.0,12.3
"19,544",0.00,0.0,,9.2,121.99,15.4,0.6,0.0,7.5
"21,309",0.00,0.0,,8.4,123.72,13.3,0.7,0.0,6.8
"23,318",0.00,0.0,,6.9,125.69,10.8,0.7,0.0,5.5
"25,131",0.00,0.0,,5.6,127.47,8.6,0.7,0.0,4.4
"26,602",0.00,0.0,,5.4,128.91,7.1,0.9,0.0,4.1
"28,072",0.00,0.0,,3.5,130.36,7.5,0.6,0.0,2.7
"30,375",0.00,0.0,,3.1,132.62,5.3,0.8,0.0,2.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,27.2,2,876,10.2,74.90,130.3,12930121
 
 
Sample Name,6-T1
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,,4.3,76.55,7.5,0.7,0.0,5.6
0,0.00,0.0,,12.7,77.85,10.9,1.4,0.0,16.3
0,0.00,0.0,,"1,358.0",93.65,220.8,14.0,0.0,"1,450.1"
0,0.00,0.0,,332.5,95.15,235.2,1.5,0.0,349.4
0,0.00,0.0,,169.0,95.70,246.9,0.7,0.0,176.6
0,0.00,0.0,,262.7,96.95,257.2,1.1,0.0,271.0
0,0.00,0.0,,602.8,99.10,292.1,2.2,0.0,608.3
0,0.00,0.0,,349.7,100.40,312.7,1.1,0.0,348.3
0,0.00,0.0,,263.6,102.45,352.5,0.8,0.0,257.3
0,0.00,0.0,,409.6,103.45,361.0,1.1,0.0,395.9
0,0.00,0.0,,489.5,104.30,355.9,1.4,0.0,469.4
0,0.00,0.0,,220.4,105.75,342.8,0.7,0.0,208.5
0,0.00,0.0,,744.6,106.90,350.1,2.4,0.0,696.6
0,0.00,0.0,,"1,401.2",108.80,283.7,6.3,0.0,"1,287.9"
0,0.00,0.0,,409.0,115.15,166.5,2.8,0.0,355.2
0,0.00,0.0,,81.6,117.90,131.8,0.7,0.0,69.2
0,0.00,0.0,,76.6,118.70,124.5,0.7,0.0,64.5
0,0.00,0.0,,72.6,119.35,115.8,0.7,0.0,60.8
0,0.00,0.0,,128.6,120.55,101.8,1.4,0.0,106.7
0,0.00,0.0,,142.8,121.85,88.9,1.8,0.0,117.2
0,0.00,0.0,,101.2,123.65,73.7,1.5,0.0,81.9
0,0.00,0.0,,38.3,125.80,62.4,0.7,0.0,30.5
0,0.00,0.0,,80.4,126.35,55.8,1.6,0.0,63.6
0,0.00,0.0,,54.6,128.00,46.5,1.3,0.0,42.6
0,0.00,0.0,,36.9,129.25,40.4,1.0,0.0,28.6
0,0.00,0.0,,26.2,130.40,33.5,0.9,0.0,20.1
0,0.00,0.0,,22.1,131.10,29.6,0.9,0.0,16.9
0,0.00,0.0,,24.5,132.40,24.6,1.2,0.0,18.5
0,0.00,0.0,,13.2,133.70,16.7,0.9,0.0,9.9
0,0.00,0.0,,5.8,135.70,8.3,0.9,0.0,4.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,1.524016,
 
Sample Name,2-T1
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
30,0.00,0.0,,3.5,41.49,7.3,0.6,0.0,9.0
31,0.00,0.0,,4.2,41.97,7.9,0.6,0.0,10.8
35,125.00,"5,411.3",Lower Marker,29.5,43.00,73.6,0.8,0.0,72.8
400,50.88,192.8,,30.4,77.94,15.8,2.2,1.1,37.6
418,41.44,150.2,,25.2,78.97,21.0,1.2,0.9,30.6
439,51.40,177.2,,31.8,80.17,26.7,1.2,1.1,38.0
470,97.60,314.5,,61.9,81.89,36.9,1.7,2.1,72.3
495,110.02,336.5,,71.3,83.31,47.3,1.5,2.3,81.6
535,169.43,480.1,,116.4,85.25,63.8,1.8,3.7,130.0
551,77.30,212.7,,54.4,86.02,71.6,0.7,1.7,60.2
600,334.01,844.0,,253.5,88.39,106.9,2.5,7.7,271.9
678,436.64,975.1,,329.2,90.76,138.5,2.3,9.8,343.1
778,376.08,732.5,,296.9,92.48,157.2,1.7,8.6,303.1
853,256.78,456.3,,212.1,93.51,170.0,1.1,6.1,213.9
955,228.29,362.0,,200.2,94.93,177.8,1.0,5.7,198.6
"1,285",132.30,156.0,,125.8,97.25,187.2,0.6,3.5,121.5
"1,393",221.86,241.3,,215.3,97.90,178.0,1.1,5.9,206.5
"1,558",147.00,142.9,,147.1,98.89,165.5,0.8,4.0,139.6
"1,795",310.80,262.3,,324.9,100.31,206.1,1.6,8.6,303.5
"1,982",267.91,204.8,,289.6,101.43,139.8,2.0,7.6,267.3
"2,602",162.73,94.8,,179.6,103.36,115.6,1.5,4.6,162.4
"3,164",58.74,28.1,,65.6,104.78,96.2,0.6,1.7,58.5
"3,737",88.82,36.0,,99.6,105.51,93.5,1.0,2.5,88.0
"4,545",69.87,23.3,,78.7,106.55,83.4,0.9,2.0,68.9
"5,151",63.30,18.6,,71.5,107.32,74.3,0.9,1.8,62.1
"6,026",151.94,38.2,,172.5,108.44,68.8,2.5,4.2,148.1
"7,968",74.11,14.1,,87.1,110.63,52.5,1.5,2.1,73.1
"9,591",28.67,4.5,,35.3,112.23,44.2,0.7,0.7,29.2
"10,380",75.00,10.9,Upper Marker,94.5,113.00,40.2,2.4,0.0,77.6
"13,187",0.00,0.0,,20.6,115.75,28.3,0.7,0.0,16.5
"13,889",0.00,0.0,,15.2,116.44,24.6,0.6,0.0,12.1
"14,459",0.00,0.0,,37.3,117.00,23.0,1.6,0.0,29.5
"17,222",0.00,0.0,,10.7,119.71,15.0,0.7,0.0,8.3
"18,055",0.00,0.0,,11.3,120.53,12.9,0.9,0.0,8.6
"19,020",0.00,0.0,,10.2,121.48,10.8,1.1,0.0,7.8
"20,730",0.00,0.0,,3.8,123.15,6.0,0.9,0.0,2.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,"2,034.5",47,686,24.1,"2,553.81","6,127.4",12930121
 
 
Sample Name,9-T2
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,19.7,43.00,59.2,0.5,0.0,48.5
472,17.32,55.6,,6.9,82.02,10.8,0.7,0.3,7.9
615,781.85,"1,925.4",,372.1,88.86,96.1,6.4,12.8,388.0
680,555.56,"1,237.2",,262.9,90.81,126.4,1.9,8.8,267.6
772,389.19,764.3,,192.2,92.39,153.3,1.1,6.3,191.9
817,228.57,424.1,,116.0,93.01,157.1,0.6,3.8,115.0
889,365.29,622.9,,193.6,94.01,166.8,1.0,6.3,189.6
"1,013",275.41,411.9,,156.0,95.62,177.2,0.7,5.0,150.0
"1,124",829.92,"1,118.8",,480.6,96.29,176.2,2.4,15.2,458.3
"1,657",953.73,871.9,,611.1,99.48,194.7,3.5,18.6,562.2
"2,184",211.70,146.8,,145.2,102.09,112.1,1.2,4.3,129.8
"2,580",147.96,86.9,,102.6,103.30,101.3,0.9,3.0,90.6
"2,867",150.25,79.4,,105.1,104.17,89.1,1.0,3.0,91.9
"3,527",92.67,39.8,,65.3,105.25,80.4,0.7,1.9,56.4
"4,078",87.14,32.4,,61.6,105.95,75.7,0.7,1.7,52.9
"4,662",110.32,35.9,,78.2,106.70,70.8,1.0,2.2,66.6
"5,474",140.81,39.0,,100.3,107.73,61.5,1.5,2.8,84.6
"6,609",64.36,14.8,,46.1,109.18,55.0,0.7,1.3,38.3
"7,210",55.03,11.6,,39.8,109.89,48.8,0.7,1.1,32.8
"7,886",45.82,8.8,,33.8,110.55,44.8,0.7,0.9,27.7
"9,070",35.46,5.9,,27.1,111.71,42.3,0.6,0.7,22.0
"10,380",75.00,10.9,Upper Marker,59.5,113.00,35.2,1.6,0.0,47.6
"11,733",0.00,0.0,,19.8,114.33,28.3,0.6,0.0,15.7
"13,424",0.00,0.0,,15.0,115.99,22.0,0.6,0.0,11.6
"14,015",0.00,0.0,,23.5,116.57,21.1,1.1,0.0,18.2
"15,579",0.00,0.0,,17.1,118.10,14.4,1.2,0.0,13.0
"16,805",0.00,0.0,,7.2,119.30,9.4,0.7,0.0,5.5
"17,609",0.00,0.0,,4.1,120.09,7.8,0.5,0.0,3.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,"1,595.6",44,731,20.2,"3,215.32","7,014.7",12930121
 
 
Sample Name,UK08
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,21.0,43.00,57.9,0.7,0.0,50.6
"1,657",3.85,3.5,,3.7,99.48,6.0,0.7,8.5,3.7
"1,815",4.97,4.1,,4.9,100.43,8.6,0.7,11.1,4.9
"3,426",8.25,3.7,,8.6,105.12,11.0,0.8,18.8,8.3
"4,793",10.28,3.2,,10.8,106.86,10.6,1.2,23.1,10.2
"6,198",8.58,2.1,,9.0,108.66,8.1,1.2,19.1,8.4
"7,278",4.87,1.0,,5.2,109.96,7.9,0.8,10.9,4.8
"7,888",3.77,0.7,,4.1,110.56,6.6,0.6,8.5,3.8
"10,380",75.00,10.9,Upper Marker,87.5,113.00,54.2,3.4,0.0,78.4
"19,840",0.00,0.0,,2.7,122.28,5.4,0.9,0.0,2.2
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.64,95.55,0.0,0,0,0.0,0.00,0.0,12930121
 
