432,17.9,62.8,,4.2,90.24,6.5,0.8,0.3,4.2
468,259.47,839.1,,63.3,93.23,29.4,3,4.8,60.3
485,203.08,634.9,,50.4,94.56,41.2,1.2,3.8,47.2
555,904.07,"2,466.50",,246.1,98.14,71.8,3.6,17.8,221.7
605,609.27,"1,525.40",,176,100.14,88.5,1.8,12.5,155.2
644,242.12,569.7,,69.5,101.14,94.1,0.6,4.9,60.6
683,334.49,742.3,,95.2,102.14,98.1,0.8,6.6,82.2
741,547.89,"1,120.50",,158.9,102.89,94.1,1.5,11,136.1
"1,192",770.66,979.4,,261.9,105.13,125.2,2.5,17.6,219.4
"2,169",221.72,154.9,,84.6,107.13,68,1.1,5.6,69.5
"2,468",180.02,110.5,,69.4,108.3,57,1.1,4.5,56.3
"2,746",123.51,68.1,,48.1,109.38,48.7,0.9,3.1,38.6
"2,949",134.23,69,,52.6,110.17,43.6,1.1,3.4,41.9
"5,520",76.63,21,,29.8,111.38,37.7,0.7,1.9,23.5
"7,240",85.99,18,,33.5,112.04,32.9,0.9,2.2,26.2
"10,380",75,10.9,Upper Marker,31.4,113,27.6,1.1,0,24.3
"20,074",0,0,,10.5,115.95,13.7,0.7,0,7.9
"22,941",0,0,,5.4,116.83,9.7,0.6,0,4.1
"25,126",0,0,,4.7,117.49,6.5,0.7,0,3.5
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,988,64,630,22.1,"4,007.69","10,183.50",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,UK-06,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,15.8,43,32.7,0.9,0,36
36,165.69,"7,008.10",,3.3,43.63,5.7,0.5,0.7,7.4
312,112.57,547.2,,6.5,82.79,6.9,0.9,0.7,7.1
324,85.35,399.2,,5.1,83.45,9,0.5,0.5,5.5
339,188.98,843.8,,11.6,84.29,12,0.9,1.2,12.4
379,564.07,"2,253.10",,37.2,86.46,19.7,2,3.8,38.8
411,824.3,"3,037.30",,57.2,88.51,28,2,5.7,58
431,731.93,"2,573.20",,51.8,90.14,30.9,1.5,5,51.6
441,407.81,"1,400.80",,29.2,90.98,33.5,0.8,2.8,28.8
462,551.43,"1,806.80",,40.3,92.73,37.1,1,3.8,38.9
497,"1,709.66","5,207.80",,129.4,95.61,47.6,2.5,11.8,120.9
519,721.25,"2,106.10",,56.2,96.62,50.5,1,5.1,52
539,552.17,"1,552.50",,44.3,97.45,53.1,0.7,4,40.5
556,633.63,"1,727.00",,52,98.16,56.6,0.8,4.6,47.3
572,518.91,"1,374.80",,43.5,98.83,60.5,0.6,3.8,39.3
588,481.4,"1,240.70",,41.3,99.5,59.7,0.6,3.6,37
616,767.85,"1,888.50",,66.7,100.42,61.7,0.9,5.8,59.2
649,459.94,"1,074.60",,39.7,101.26,62.1,0.5,3.4,34.9
673,620.8,"1,398.00",,53.4,101.88,61.1,0.8,4.6,46.6
707,608.29,"1,303.40",,52.2,102.64,58.9,0.8,4.4,45.2
937,"1,511.55","2,443.20",,146.1,104.35,77.6,2,12.1,124.4
"1,626",661.72,616.7,,72,105.85,45.4,1.5,5.9,60.4
"2,238",357.06,241.8,,41.2,107.4,35,1,3.3,34
"2,946",182.62,93.9,,21.6,110.16,22.9,0.8,1.7,17.4
"5,503",179.27,49.4,,21,111.37,18.2,1,1.7,16.7
"10,380",75,10.9,Upper Marker,9.5,113,15,0.5,0,7.4
"15,316",0,0,,7.9,114.5,11.2,0.6,0,6.1
"18,606",0,0,,6.5,115.51,8.4,0.8,0,5
"23,405",0,0,,4.4,116.97,6.2,0.7,0,3.3
"25,873",0,0,,3.4,117.72,5.6,0.6,0,2.6
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,789.3,76,591,25.5,"10,680.88","29,520.40",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,8-T2,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,13.9,43,32,0.8,0,32.2
80,105.96,"1,995.70",,12.1,60.76,9.3,1.6,0.3,18.7
85,84.65,"1,516.10",,9.8,61.61,11.9,0.8,0.2,14.9
87,79.18,"1,376.50",,9.3,62.15,14.5,0.6,0.2,13.9
101,708.52,"10,617.30",,87.3,64.97,34,2.9,1.9,124.5
127,"1,599.02","19,149.50",,216.5,68.69,61.4,3.6,4.5,289.8
144,"1,498.80","15,819.60",,215.5,71.19,83.1,2.4,4.3,277.2
155,902.33,"8,813.60",,135.2,72.74,95.5,1.2,2.6,169.8
166,930.55,"8,487.50",,145.2,74.05,105.5,1.2,2.8,178.7
184,945.93,"7,775.30",,157.4,76.22,126,1.1,2.9,187.6
190,644.45,"5,134.50",,109.4,76.92,132.4,0.7,2,129.1
199,821.87,"6,254.20",,143.9,77.98,140.7,0.9,2.6,167.3
224,"1,033.71","7,005.90",,189.1,79.04,149.9,1.1,3.4,216.4
250,691.02,"4,192.40",,132.1,80.11,157.5,0.7,2.3,149
283,"1,199.81","6,424.60",,242.1,81.46,165.9,1.2,4.2,268.1
308,"1,297.66","6,376.80",,273.6,82.6,175.9,1.3,4.6,298.3
325,900.09,"4,197.70",,196.1,83.5,181.9,0.9,3.3,211.3
344,854.09,"3,765.20",,193,84.53,187.4,0.9,3.2,205.2
378,805.3,"3,231.70",,193.9,86.37,196.8,0.8,3.1,201.4
402,720.96,"2,716.90",,181.3,87.76,204.3,0.7,2.9,185
414,650.84,"2,382.00",,165.8,88.74,208.6,0.7,2.6,167.1
434,653.8,"2,280.80",,170.2,90.42,214.4,0.7,2.6,168.1
454,522.4,"1,744.60",,138.7,92.01,214.5,0.5,2.1,134.4
458,954.4,"3,159.70",,254.5,92.34,213.8,1,3.8,245.6
475,768.76,"2,454.60",,208.5,93.73,211.1,0.8,3.1,198
485,561.02,"1,752.80",,153.8,94.59,207.2,0.6,2.2,144.6
494,472.73,"1,450.20",,130.7,95.33,205.1,0.5,1.9,121.9
503,772.47,"2,328.50",,215.7,95.94,199.4,0.9,3.1,199.8
524,"2,824.52","8,164.20",,813.6,96.84,191.1,3.9,11.5,745.7
647,929.8,"2,177.50",,294.9,101.22,171.9,1.6,4,257.7
691,251.06,550.1,,79,102.36,125.7,0.5,1.1,68.2
742,759.57,"1,551.20",,243.9,102.89,118.4,1.9,3.2,209.4
984,377.82,581.9,,137.2,104.69,95.1,1.3,1.8,115.6
"1,741",656.33,571.2,,266.4,106.04,82.5,3.2,3.4,221.4
"2,730",328.29,182.2,,141.5,109.32,56.6,2.5,1.8,113.8
"6,610",118.74,27.2,,51,111.81,37.4,1.3,0.5,40.1
"10,380",75,10.9,Upper Marker,34.8,113,29.3,1.1,0,27
"14,541",0,0,,28.5,114.27,23.2,1.1,0,21.8
"18,299",0,0,,19.9,115.41,18.6,1,0,15.1
"21,520",0,0,,15.4,116.4,14.3,1.2,0,11.6
"25,413",0,0,,7.2,117.58,9.4,1,0,5.4
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,"5,549.30",73,454,31.7,"22,129.43","85,104.10",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,11-T4,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,10.9,43,32.5,0.5,0,25.5
314,27.35,131.8,,7,82.94,6.5,1.3,0.4,7.6
326,20.34,94.6,,5.3,83.55,7.8,0.6,0.3,5.7
337,26.09,117.3,,7,84.16,11.1,0.6,0.4,7.5
365,94.78,392.9,,26.7,85.71,19.1,1.5,1.4,28.1
383,87.24,344.7,,25.4,86.69,25.7,0.9,1.3,26.4
430,580.3,"2,046.20",,179.8,90.03,55.9,3.5,8.9,179.1
497,"1,598.03","4,866.90",,530.8,95.62,103.7,5.5,24.7,494.9
523,329.85,954.9,,113.6,96.81,110.8,0.9,5.2,104.5
541,276.67,774.9,,97.7,97.54,110,0.7,4.4,89.1
558,209.13,568.3,,75.6,98.23,109.3,0.6,3.4,68.4
569,190.2,506.3,,69.9,98.72,108.7,0.5,3.1,62.9
591,623.11,"1,598.20",,235.6,99.62,151.8,1.6,10.5,210.1
631,167.05,401.2,,63.6,100.8,100.1,0.5,2.8,56
653,393.46,912.8,,149.3,101.37,98,1.3,6.5,130.6
718,195.34,412,,74.2,102.72,93.9,0.7,3.2,64
861,206.48,363.4,,84.5,103.78,91,0.8,3.6,72.1
976,197.97,307.3,,85.8,104.64,87.2,0.8,3.6,72.5
"1,581",109.56,105,,52.1,105.78,82.6,0.5,2.2,43.5
"2,062",225.58,165.7,,113.8,106.72,75.1,1.3,4.7,94.1
"2,419",376.98,236.1,,192.6,108.1,63.5,3.2,7.8,157.1
"6,517",41.79,9.7,,21.5,111.78,32.8,0.6,0.8,16.9
"7,971",38.98,7.4,,20.5,112.27,29.3,0.6,0.8,16.1
"10,380",75,10.9,Upper Marker,41.7,113,26.7,1.6,0,32.4
"15,599",0,0,,20.2,114.59,17.4,1.1,0,15.5
"22,023",0,0,,5.8,116.55,10.3,0.5,0,4.4
"26,440",0,0,,2.9,117.9,6.2,0.5,0,2.1
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,"1,825.90",78,560,24.7,"5,701.87","16,564.00",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,UK-02,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,13.7,43,34.1,0.9,0,32.4
374,106.42,431,,7.1,86.18,11.4,0.6,1.2,7.7
404,209.16,783.9,,14.8,87.94,13.6,1,2.3,15.6
415,137.22,501.4,,9.8,88.8,15.2,0.6,1.5,10.2
435,326.57,"1,136.30",,23.8,90.51,18.5,1.2,3.7,24.3
445,252,857.4,,18.6,91.32,22.1,0.8,2.8,18.8
460,227.89,750,,17,92.57,27.5,0.6,2.6,17
482,397.61,"1,250.60",,30.4,94.32,33.7,0.8,4.5,29.7
498,677.97,"2,063.40",,52.6,95.65,38.9,1.2,7.6,50.7
527,592.26,"1,701.20",,47.9,96.98,46.2,0.9,6.8,45.5
542,372,"1,040.20",,30.7,97.58,48.4,0.6,4.4,29
551,378.66,"1,041.10",,31.7,97.96,48.9,0.6,4.5,29.7
574,557.74,"1,473.20",,48.1,98.91,52.3,0.8,6.7,44.7
584,403.75,"1,047.70",,35.3,99.33,51.2,0.6,4.9,32.7
627,412.16,995.9,,36.7,100.71,50.1,0.6,5,33.4
679,"1,616.14","3,608.20",,142.3,102.03,77.6,2.3,19.3,128
822,872.36,"1,608.30",,81.6,103.49,36.9,2.1,10.9,72.3
"1,647",366.71,337.4,,41,105.89,27.6,1.4,5.3,35.5
"2,653",214.54,122.5,,25.8,109.02,18.8,1.2,3.2,21.6
"5,508",183.9,50.6,,22.1,111.37,15.8,1.4,2.8,18.1
"10,380",75,10.9,Upper Marker,9.7,113,12.6,0.7,0,7.8
"14,315",0,0,,8.1,114.2,10.7,0.7,0,6.5
"20,359",0,0,,5,116.04,8.7,0.6,0,3.9
"27,386",0,0,,5,118.18,5.9,0.8,0,3.8
"31,040",0,0,,3.8,119.3,5.1,0.8,0,2.9
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,740.1,77,570,24,"9,545.17","27,260.50",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,7-T2,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,16.8,43,40.9,0.8,0,40.1
429,"1,426.29","5,033.20",,111.9,90.01,38.5,5.3,7.6,112.3
443,814.77,"2,785.40",,64.9,91.15,50.6,1.2,4.3,64.2
461,"1,007.18","3,313.70",,81.6,92.57,68.5,1.1,5.4,79.5
483,"2,211.80","6,934.40",,183.5,94.45,92.4,1.8,11.8,174.7
498,"1,598.51","4,867.20",,134.6,95.63,99.7,1.1,8.5,126.3
514,882.05,"2,600.90",,75.9,96.41,103.6,0.6,4.8,70.7
527,"1,059.97","3,044.60",,93,96.98,99.9,0.8,5.8,86
563,"3,569.03","9,611.50",,329.2,98.45,152.9,2.6,20.2,299.4
631,"1,427.91","3,427.80",,137.8,100.81,74.4,1.7,8.2,122.2
698,468.92,"1,018.40",,44.7,102.52,63.1,0.6,2.6,38.9
780,917.47,"1,783.30",,91.2,103.17,57.9,1.4,5.3,78.8
960,305.08,481.3,,33.3,104.52,49.6,0.6,1.9,28.3
"1,142",695.07,922.6,,78.9,105.05,45.4,1.5,4.5,66.8
"2,042",185.27,137.4,,23.7,106.64,38.4,0.5,1.3,19.7
"2,179",170.36,118.5,,21.9,107.17,35.1,0.5,1.2,18.1
"2,440",258.23,160.3,,33.5,108.19,31.2,0.9,1.9,27.5
"2,713",223.38,124.8,,29.2,109.25,27.6,0.9,1.6,23.7
"2,933",215.83,111.5,,28.5,110.11,24,1.1,1.5,22.9
"5,094",96.02,28.6,,12.6,111.21,20.6,0.5,0.7,10
"6,621",126.65,29,,16.5,111.82,19.5,0.7,0.9,13.1
"10,380",75,10.9,Upper Marker,10.6,113,17,0.5,0,8.3
"17,201",0,0,,8.6,115.08,12.8,0.6,0,6.6
"19,341",0,0,,15.1,115.73,13,1.1,0,11.5
"23,220",0,0,,6,116.91,9.2,0.6,0,4.5
"25,093",0,0,,4.7,117.48,9,0.5,0,3.5
"28,169",0,0,,3.4,118.42,6.1,0.6,0,2.6
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,"1,234.00",83,561,21,"15,057.85","42,594.90",12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,UK-08,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,12.9,43,33.6,1,0,30.6
577,9.08,23.8,,3.7,99.05,5.2,0.9,7.9,3.8
592,8.87,22.7,,3.7,99.67,5.5,0.8,7.8,3.8
621,8.73,21.3,,3.6,100.54,6.2,0.7,7.7,3.7
658,14.44,33.2,,5.9,101.51,6.6,1.1,12.5,6
692,11.12,24.3,,4.5,102.38,6.4,0.8,9.5,4.6
"1,080",11.25,15.8,,5.4,104.95,8.6,0.7,11,5.3
"1,698",16.25,14.5,,8.5,105.97,8.4,1.1,17.1,8.2
"2,385",10.01,6.4,,5.5,107.97,9.6,0.7,10.9,5.2
"2,609",14.26,8.3,,7.9,108.85,9.3,1,15.6,7.5
"10,380",75,10.9,Upper Marker,44.9,113,40.4,2.8,0,40.7
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,36.6,34,705,19,86.47,193,12930121
 ,,,,,,,,,
 ,,,,,,,,,
Sample Name,5-T3,,,,,,,,
 ,,,,,,,,,
Peak Table,,,,,,,,,
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125,"5,411.30",Lower Marker,23.7,43,52.8,1,0,56.1
546,"1,540.41","4,275.30",,130.4,97.75,32.4,7.3,24.7,126
562,361.62,975,,31.3,98.42,36.9,0.8,5.9,30
581,270.7,705.6,,24,99.22,38.2,0.6,4.5,22.9
627,793.22,"1,917.20",,71.9,100.7,38.7,1.7,13.2,67.4
700,243.78,527.8,,21.8,102.58,34.9,0.6,3.9,20
790,226.74,435.1,,21.2,103.25,34.2,0.6,3.8,19.4
"1,188","1,685.25","2,148.70",,180.3,105.13,78.4,3.2,31.6,161.4
"2,137",186.54,132.3,,22.4,107.01,28.3,0.8,3.9,19.7
"2,366",244.36,156.5,,29.6,107.9,21.9,1.3,5,25.8
"2,734",90.33,50.1,,11.1,109.33,18.3,0.6,1.9,9.5
"5,106",85.18,25.3,,10.5,111.21,14.3,0.7,1.6,8.8
"10,380",75,10.9,Upper Marker,9.9,113,11.2,0.9,0,8.2
"16,837",0,0,,5.8,114.97,7.8,0.8,0,4.7
"22,413",0,0,,3.2,116.67,5.6,0.6,0,2.6
 ,,,,,,,,,
Region Table,,,,,,,,,
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,78.09,104.82,388.6,61,633,22.6,"4,670.87","11,811.50",12930121
 ,,,,,,,,,
