GO.ID,Term,Annotated,Significant,Expected,classic
GO:0002824,positive regulation of adaptive immune r...,2,0,0,1.00000
GO:0002831,regulation of response to biotic stimulu...,9,0,0.01,1.00000
GO:0002889,regulation of immunoglobulin mediated im...,2,0,0,1.00000
GO:0002891,positive regulation of immunoglobulin me...,2,0,0,1.00000
GO:0002931,response to ischemia,4,0,0,1.00000
GO:0003002,regionalization,14,0,0.01,1.00000
GO:0003006,developmental process involved in reprod...,8,0,0.01,1.00000
GO:0003007,heart morphogenesis,2,0,0,1.00000
GO:0003008,system process,7,0,0,1.00000
GO:0003012,muscle system process,2,0,0,1.00000
GO:0003148,outflow tract septum morphogenesis,2,0,0,1.00000
GO:0003151,outflow tract morphogenesis,2,0,0,1.00000
GO:0003157,endocardium development,2,0,0,1.00000
GO:0003158,endothelium development,2,0,0,1.00000
GO:0003170,heart valve development,2,0,0,1.00000
GO:0003171,atrioventricular valve development,2,0,0,1.00000
GO:0003179,heart valve morphogenesis,2,0,0,1.00000
GO:0003181,atrioventricular valve morphogenesis,2,0,0,1.00000
GO:0003188,heart valve formation,2,0,0,1.00000
GO:0003190,atrioventricular valve formation,2,0,0,1.00000
GO:0003197,endocardial cushion development,2,0,0,1.00000
GO:0003198,epithelial to mesenchymal transition inv...,2,0,0,1.00000
GO:0003203,endocardial cushion morphogenesis,2,0,0,1.00000
GO:0003205,cardiac chamber development,2,0,0,1.00000
GO:0003206,cardiac chamber morphogenesis,2,0,0,1.00000
GO:0003208,cardiac ventricle morphogenesis,2,0,0,1.00000
GO:0003214,cardiac left ventricle morphogenesis,2,0,0,1.00000
GO:0003220,left ventricular cardiac muscle tissue m...,2,0,0,1.00000
GO:0003229,ventricular cardiac muscle tissue develo...,2,0,0,1.00000
GO:0003231,cardiac ventricle development,2,0,0,1.00000
GO:0003249,cell proliferation involved in heart val...,2,0,0,1.00000
GO:0003250,regulation of cell proliferation involve...,2,0,0,1.00000
GO:0003251,positive regulation of cell proliferatio...,2,0,0,1.00000
GO:0003272,endocardial cushion formation,2,0,0,1.00000
GO:0003279,cardiac septum development,2,0,0,1.00000
GO:0003281,ventricular septum development,2,0,0,1.00000
GO:0003300,cardiac muscle hypertrophy,2,0,0,1.00000
GO:0003348,cardiac endothelial cell differentiation,2,0,0,1.00000
GO:0003360,brainstem development,2,0,0,1.00000
GO:0005975,carbohydrate metabolic process,5,0,0,1.00000
GO:0005976,polysaccharide metabolic process,1,0,0,1.00000
GO:0005977,glycogen metabolic process,1,0,0,1.00000
GO:0005996,monosaccharide metabolic process,4,0,0,1.00000
GO:0006006,glucose metabolic process,3,0,0,1.00000
GO:0006022,aminoglycan metabolic process,1,0,0,1.00000
GO:0006023,aminoglycan biosynthetic process,1,0,0,1.00000
GO:0006024,glycosaminoglycan biosynthetic process,1,0,0,1.00000
GO:0006029,proteoglycan metabolic process,1,0,0,1.00000
GO:0006073,cellular glucan metabolic process,1,0,0,1.00000
GO:0006082,organic acid metabolic process,37,0,0.03,1.00000
GO:0006090,pyruvate metabolic process,1,0,0,1.00000
GO:0006091,generation of precursor metabolites and ...,2,0,0,1.00000
GO:0006096,glycolytic process,1,0,0,1.00000
GO:0006109,regulation of carbohydrate metabolic pro...,1,0,0,1.00000
GO:0006110,regulation of glycolytic process,1,0,0,1.00000
GO:0006112,energy reserve metabolic process,1,0,0,1.00000
GO:0006119,oxidative phosphorylation,1,0,0,1.00000
GO:0006139,nucleobase-containing compound metabolic...,70,0,0.05,1.00000
GO:0006140,regulation of nucleotide metabolic proce...,1,0,0,1.00000
GO:0006163,purine nucleotide metabolic process,2,0,0,1.00000
GO:0006164,purine nucleotide biosynthetic process,1,0,0,1.00000
GO:0006165,nucleoside diphosphate phosphorylation,1,0,0,1.00000
GO:0006259,DNA metabolic process,13,0,0.01,1.00000
GO:0006260,DNA replication,2,0,0,1.00000
GO:0006261,DNA-dependent DNA replication,2,0,0,1.00000
GO:0006270,DNA replication initiation,1,0,0,1.00000
GO:0006275,regulation of DNA replication,1,0,0,1.00000
GO:0006278,RNA-dependent DNA biosynthetic process,1,0,0,1.00000
GO:0006281,DNA repair,10,0,0.01,1.00000
GO:0006283,transcription-coupled nucleotide-excisio...,7,0,0,1.00000
GO:0006289,nucleotide-excision repair,7,0,0,1.00000
GO:0006298,mismatch repair,2,0,0,1.00000
GO:0006301,postreplication repair,1,0,0,1.00000
GO:0006302,double-strand break repair,3,0,0,1.00000
GO:0006303,double-strand break repair via nonhomolo...,2,0,0,1.00000
GO:0006308,DNA catabolic process,1,0,0,1.00000
GO:0006309,apoptotic DNA fragmentation,1,0,0,1.00000
GO:0006310,DNA recombination,3,0,0,1.00000
GO:0006312,mitotic recombination,3,0,0,1.00000
GO:0006323,DNA packaging,1,0,0,1.00000
GO:0006325,chromatin organization,5,0,0,1.00000
GO:0006351,transcription, DNA-templated,52,0,0.04,1.00000
GO:0006355,regulation of transcription, DNA-templat...,34,0,0.02,1.00000
GO:0006357,regulation of transcription by RNA polym...,9,0,0.01,1.00000
GO:0006364,rRNA processing,2,0,0,1.00000
GO:0006366,transcription by RNA polymerase II,9,0,0.01,1.00000
GO:0006383,transcription by RNA polymerase III,3,0,0,1.00000
GO:0006396,RNA processing,10,0,0.01,1.00000
GO:0006397,mRNA processing,8,0,0.01,1.00000
GO:0006401,RNA catabolic process,3,0,0,1.00000
GO:0006402,mRNA catabolic process,3,0,0,1.00000
GO:0006457,protein folding,3,0,0,1.00000
GO:0006464,cellular protein modification process,38,0,0.03,1.00000
GO:0006468,protein phosphorylation,24,0,0.02,1.00000
GO:0006469,negative regulation of protein kinase ac...,1,0,0,1.00000
GO:0006473,protein acetylation,2,0,0,1.00000
GO:0006475,internal protein amino acid acetylation,2,0,0,1.00000
GO:0006476,protein deacetylation,3,0,0,1.00000
GO:0006479,protein methylation,2,0,0,1.00000
GO:0006508,proteolysis,24,0,0.02,1.00000
GO:0006511,ubiquitin-dependent protein catabolic pr...,7,0,0,1.00000
GO:0006515,protein quality control for misfolded or...,3,0,0,1.00000
GO:0006520,cellular amino acid metabolic process,1,0,0,1.00000
GO:0006563,L-serine metabolic process,1,0,0,1.00000
GO:0006564,L-serine biosynthetic process,1,0,0,1.00000
GO:0006629,lipid metabolic process,4,0,0,1.00000
GO:0006631,fatty acid metabolic process,1,0,0,1.00000
GO:0006633,fatty acid biosynthetic process,1,0,0,1.00000
GO:0006643,membrane lipid metabolic process,3,0,0,1.00000
GO:0006644,phospholipid metabolic process,3,0,0,1.00000
GO:0006664,glycolipid metabolic process,3,0,0,1.00000
GO:0006665,sphingolipid metabolic process,3,0,0,1.00000
GO:0006672,ceramide metabolic process,3,0,0,1.00000
GO:0006677,glycosylceramide metabolic process,3,0,0,1.00000
GO:0006678,glucosylceramide metabolic process,3,0,0,1.00000
GO:0006681,galactosylceramide metabolic process,3,0,0,1.00000
GO:0006684,sphingomyelin metabolic process,3,0,0,1.00000
GO:0006687,glycosphingolipid metabolic process,3,0,0,1.00000
GO:0006725,cellular aromatic compound metabolic pro...,104,0,0.07,1.00000
GO:0006732,coenzyme metabolic process,1,0,0,1.00000
GO:0006733,oxidoreduction coenzyme metabolic proces...,1,0,0,1.00000
GO:0006753,nucleoside phosphate metabolic process,2,0,0,1.00000
GO:0006754,ATP biosynthetic process,1,0,0,1.00000
GO:0006757,ATP generation from ADP,1,0,0,1.00000
GO:0006790,sulfur compound metabolic process,1,0,0,1.00000
GO:0006793,phosphorus metabolic process,29,0,0.02,1.00000
GO:0006796,phosphate-containing compound metabolic ...,29,0,0.02,1.00000
GO:0006807,nitrogen compound metabolic process,141,0,0.1,1.00000
GO:0006810,transport,75,0,0.05,1.00000
GO:0006811,ion transport,3,0,0,1.00000
GO:0006812,cation transport,3,0,0,1.00000
GO:0006820,anion transport,3,0,0,1.00000
GO:0006865,amino acid transport,3,0,0,1.00000
GO:0006873,cellular ion homeostasis,8,0,0.01,1.00000
GO:0006874,cellular calcium ion homeostasis,3,0,0,1.00000
GO:0006875,cellular metal ion homeostasis,5,0,0,1.00000
GO:0006879,cellular iron ion homeostasis,2,0,0,1.00000
GO:0006885,regulation of pH,3,0,0,1.00000
GO:0006886,intracellular protein transport,4,0,0,1.00000
GO:0006890,retrograde vesicle-mediated transport, G...,3,0,0,1.00000
GO:0006897,endocytosis,42,0,0.03,1.00000
GO:0006898,receptor-mediated endocytosis,7,0,0,1.00000
GO:0006906,vesicle fusion,1,0,0,1.00000
GO:0006907,pinocytosis,34,0,0.02,1.00000
GO:0006909,phagocytosis,1,0,0,1.00000
GO:0006914,autophagy,10,0,0.01,1.00000
GO:0006919,activation of cysteine-type endopeptidas...,1,0,0,1.00000
GO:0006921,cellular component disassembly involved ...,1,0,0,1.00000
GO:0006928,movement of cell or subcellular componen...,56,0,0.04,1.00000
GO:0006935,chemotaxis,4,0,0,1.00000
GO:0006950,response to stress,70,0,0.05,1.00000
GO:0006952,defense response,17,0,0.01,1.00000
GO:0006954,inflammatory response,9,0,0.01,1.00000
GO:0006955,immune response,19,0,0.01,1.00000
GO:0006974,cellular response to DNA damage stimulus,10,0,0.01,1.00000
GO:0006979,response to oxidative stress,7,0,0,1.00000
GO:0006996,organelle organization,86,0,0.06,1.00000
GO:0007004,telomere maintenance via telomerase,1,0,0,1.00000
GO:0007005,mitochondrion organization,7,0,0,1.00000
GO:0007009,plasma membrane organization,1,0,0,1.00000
GO:0007010,cytoskeleton organization,71,0,0.05,1.00000
GO:0007015,actin filament organization,48,0,0.03,1.00000
GO:0007016,cytoskeletal anchoring at plasma membran...,1,0,0,1.00000
GO:0007017,microtubule-based process,18,0,0.01,1.00000
GO:0007018,microtubule-based movement,10,0,0.01,1.00000
GO:0007019,microtubule depolymerization,8,0,0.01,1.00000
GO:0007023,post-chaperonin tubulin folding pathway,1,0,0,1.00000
GO:0007026,negative regulation of microtubule depol...,8,0,0.01,1.00000
GO:0007029,endoplasmic reticulum organization,2,0,0,1.00000
GO:0007033,vacuole organization,3,0,0,1.00000
GO:0007034,vacuolar transport,3,0,0,1.00000
GO:0007035,vacuolar acidification,3,0,0,1.00000
GO:0007040,lysosome organization,3,0,0,1.00000
GO:0007042,lysosomal lumen acidification,3,0,0,1.00000
GO:0007043,cell-cell junction assembly,2,0,0,1.00000
GO:0007049,cell cycle,19,0,0.01,1.00000
GO:0007050,cell cycle arrest,2,0,0,1.00000
GO:0007051,spindle organization,2,0,0,1.00000
GO:0007059,chromosome segregation,4,0,0,1.00000
GO:0007060,male meiosis chromosome segregation,2,0,0,1.00000
GO:0007062,sister chromatid cohesion,2,0,0,1.00000
GO:0007088,regulation of mitotic nuclear division,2,0,0,1.00000
GO:0007091,metaphase/anaphase transition of mitotic...,2,0,0,1.00000
GO:0007093,mitotic cell cycle checkpoint,3,0,0,1.00000
GO:0007094,mitotic spindle assembly checkpoint,2,0,0,1.00000
GO:0007098,centrosome cycle,4,0,0,1.00000
GO:0007127,meiosis I,2,0,0,1.00000
GO:0007129,synapsis,2,0,0,1.00000
GO:0007131,reciprocal meiotic recombination,2,0,0,1.00000
GO:0007140,male meiotic nuclear division,2,0,0,1.00000
GO:0007143,female meiotic nuclear division,2,0,0,1.00000
GO:0007154,cell communication,78,0,0.05,1.00000
GO:0007155,cell adhesion,54,0,0.04,1.00000
GO:0007160,cell-matrix adhesion,2,0,0,1.00000
GO:0007163,establishment or maintenance of cell pol...,2,0,0,1.00000
GO:0007165,signal transduction,77,0,0.05,1.00000
GO:0007166,cell surface receptor signaling pathway,25,0,0.02,1.00000
GO:0007167,enzyme linked receptor protein signaling...,8,0,0.01,1.00000
GO:0007169,transmembrane receptor protein tyrosine ...,1,0,0,1.00000
GO:0007178,transmembrane receptor protein serine/th...,7,0,0,1.00000
GO:0007179,transforming growth factor beta receptor...,7,0,0,1.00000
GO:0007183,SMAD protein complex assembly,2,0,0,1.00000
GO:0007186,G protein-coupled receptor signaling pat...,4,0,0,1.00000
GO:0007200,phospholipase C-activating G protein-cou...,3,0,0,1.00000
GO:0007204,positive regulation of cytosolic calcium...,3,0,0,1.00000
GO:0007229,integrin-mediated signaling pathway,8,0,0.01,1.00000
GO:0007249,I-kappaB kinase/NF-kappaB signaling,9,0,0.01,1.00000
GO:0007254,JNK cascade,4,0,0,1.00000
GO:0007257,activation of JUN kinase activity,2,0,0,1.00000
GO:0007264,small GTPase mediated signal transductio...,19,0,0.01,1.00000
GO:0007265,Ras protein signal transduction,5,0,0,1.00000
GO:0007266,Rho protein signal transduction,1,0,0,1.00000
GO:0007267,cell-cell signaling,3,0,0,1.00000
GO:0007268,chemical synaptic transmission,1,0,0,1.00000
GO:0007274,neuromuscular synaptic transmission,1,0,0,1.00000
GO:0007275,multicellular organism development,71,0,0.05,1.00000
GO:0007276,gamete generation,16,0,0.01,1.00000
GO:0007281,germ cell development,4,0,0,1.00000
GO:0007283,spermatogenesis,14,0,0.01,1.00000
GO:0007292,female gamete generation,4,0,0,1.00000
GO:0007338,single fertilization,2,0,0,1.00000
GO:0007346,regulation of mitotic cell cycle,4,0,0,1.00000
GO:0007369,gastrulation,4,0,0,1.00000
GO:0007379,segment specification,11,0,0.01,1.00000
GO:0007389,pattern specification process,14,0,0.01,1.00000
GO:0007399,nervous system development,57,0,0.04,1.00000
GO:0007409,axonogenesis,21,0,0.01,1.00000
GO:0007411,axon guidance,3,0,0,1.00000
GO:0007416,synapse assembly,1,0,0,1.00000
GO:0007417,central nervous system development,7,0,0,1.00000
GO:0007420,brain development,7,0,0,1.00000
GO:0007423,sensory organ development,5,0,0,1.00000
GO:0007431,salivary gland development,1,0,0,1.00000
GO:0007435,salivary gland morphogenesis,1,0,0,1.00000
GO:0007492,endoderm development,2,0,0,1.00000
GO:0007494,midgut development,1,0,0,1.00000
GO:0007498,mesoderm development,4,0,0,1.00000
GO:0007507,heart development,2,0,0,1.00000
GO:0007517,muscle organ development,2,0,0,1.00000
GO:0007528,neuromuscular junction development,1,0,0,1.00000
GO:0007530,sex determination,1,0,0,1.00000
GO:0007538,primary sex determination,1,0,0,1.00000
GO:0007542,primary sex determination, germ-line,1,0,0,1.00000
GO:0007548,sex differentiation,2,0,0,1.00000
GO:0007552,metamorphosis,5,0,0,1.00000
GO:0007584,response to nutrient,1,0,0,1.00000
GO:0007596,blood coagulation,35,0,0.02,1.00000
GO:0007599,hemostasis,35,0,0.02,1.00000
GO:0007600,sensory perception,3,0,0,1.00000
GO:0007601,visual perception,3,0,0,1.00000
GO:0007605,sensory perception of sound,3,0,0,1.00000
GO:0007610,behavior,5,0,0,1.00000
GO:0007611,learning or memory,2,0,0,1.00000
GO:0007613,memory,2,0,0,1.00000
GO:0007622,rhythmic behavior,3,0,0,1.00000
GO:0007623,circadian rhythm,3,0,0,1.00000
GO:0008037,cell recognition,1,0,0,1.00000
GO:0008038,neuron recognition,1,0,0,1.00000
GO:0008064,regulation of actin polymerization or de...,35,0,0.02,1.00000
GO:0008104,protein localization,27,0,0.02,1.00000
GO:0008152,metabolic process,153,0,0.1,1.00000
GO:0008154,actin polymerization or depolymerization,46,0,0.03,1.00000
GO:0008213,protein alkylation,2,0,0,1.00000
GO:0008283,cell proliferation,9,0,0.01,1.00000
GO:0008284,positive regulation of cell proliferatio...,5,0,0,1.00000
GO:0008285,negative regulation of cell proliferatio...,3,0,0,1.00000
GO:0008361,regulation of cell size,1,0,0,1.00000
GO:0008380,RNA splicing,8,0,0.01,1.00000
GO:0008406,gonad development,2,0,0,1.00000
GO:0008544,epidermis development,3,0,0,1.00000
GO:0008582,regulation of synaptic growth at neuromu...,1,0,0,1.00000
GO:0008584,male gonad development,2,0,0,1.00000
GO:0008585,female gonad development,2,0,0,1.00000
GO:0008610,lipid biosynthetic process,1,0,0,1.00000
GO:0008630,intrinsic apoptotic signaling pathway in...,2,0,0,1.00000
GO:0008631,intrinsic apoptotic signaling pathway in...,3,0,0,1.00000
GO:0008637,apoptotic mitochondrial changes,1,0,0,1.00000
GO:0008652,cellular amino acid biosynthetic process,1,0,0,1.00000
GO:0009056,catabolic process,19,0,0.01,1.00000
GO:0009057,macromolecule catabolic process,11,0,0.01,1.00000
GO:0009058,biosynthetic process,58,0,0.04,1.00000
GO:0009059,macromolecule biosynthetic process,56,0,0.04,1.00000
GO:0009069,serine family amino acid metabolic proce...,1,0,0,1.00000
GO:0009070,serine family amino acid biosynthetic pr...,1,0,0,1.00000
GO:0009100,glycoprotein metabolic process,1,0,0,1.00000
GO:0009101,glycoprotein biosynthetic process,1,0,0,1.00000
GO:0009108,coenzyme biosynthetic process,1,0,0,1.00000
GO:0009117,nucleotide metabolic process,2,0,0,1.00000
GO:0009123,nucleoside monophosphate metabolic proce...,2,0,0,1.00000
GO:0009124,nucleoside monophosphate biosynthetic pr...,1,0,0,1.00000
GO:0009126,purine nucleoside monophosphate metaboli...,2,0,0,1.00000
GO:0009127,purine nucleoside monophosphate biosynth...,1,0,0,1.00000
GO:0009132,nucleoside diphosphate metabolic process,1,0,0,1.00000
GO:0009135,purine nucleoside diphosphate metabolic ...,1,0,0,1.00000
GO:0009141,nucleoside triphosphate metabolic proces...,2,0,0,1.00000
GO:0009142,nucleoside triphosphate biosynthetic pro...,1,0,0,1.00000
GO:0009144,purine nucleoside triphosphate metabolic...,2,0,0,1.00000
GO:0009145,purine nucleoside triphosphate biosynthe...,1,0,0,1.00000
GO:0009150,purine ribonucleotide metabolic process,2,0,0,1.00000
GO:0009152,purine ribonucleotide biosynthetic proce...,1,0,0,1.00000
GO:0009156,ribonucleoside monophosphate biosyntheti...,1,0,0,1.00000
GO:0009161,ribonucleoside monophosphate metabolic p...,2,0,0,1.00000
GO:0009165,nucleotide biosynthetic process,1,0,0,1.00000
GO:0009166,nucleotide catabolic process,1,0,0,1.00000
GO:0009167,purine ribonucleoside monophosphate meta...,2,0,0,1.00000
GO:0009168,purine ribonucleoside monophosphate bios...,1,0,0,1.00000
GO:0009179,purine ribonucleoside diphosphate metabo...,1,0,0,1.00000
