GO.ID,Term,Annotated,Significant,Expected,classic
GO:2001056,positive regulation of cysteine-type end...,6,1,0.02,0.0839
GO:0001654,eye development,7,1,0.02,0.0972
GO:0006873,cellular ion homeostasis,7,1,0.02,0.0972
GO:0006875,cellular metal ion homeostasis,7,1,0.02,0.0972
GO:0007586,digestion,7,1,0.02,0.0972
GO:0010035,response to inorganic substance,7,1,0.02,0.0972
GO:0022407,regulation of cell-cell adhesion,7,1,0.02,0.0972
GO:0022600,digestive system process,7,1,0.02,0.0972
GO:0030003,cellular cation homeostasis,7,1,0.02,0.0972
GO:0035304,regulation of protein dephosphorylation,7,1,0.02,0.0972
GO:0035307,positive regulation of protein dephospho...,7,1,0.02,0.0972
GO:0040017,positive regulation of locomotion,7,1,0.02,0.0972
GO:0043523,regulation of neuron apoptotic process,7,1,0.02,0.0972
GO:0044058,regulation of digestive system process,7,1,0.02,0.0972
GO:0045862,positive regulation of proteolysis,7,1,0.02,0.0972
GO:0048880,sensory system development,7,1,0.02,0.0972
GO:0051402,neuron apoptotic process,7,1,0.02,0.0972
GO:0070997,neuron death,7,1,0.02,0.0972
GO:0150063,visual system development,7,1,0.02,0.0972
GO:1901214,regulation of neuron death,7,1,0.02,0.0972
GO:0040011,locomotion,39,2,0.11,0.1091
GO:0009725,response to hormone,8,1,0.02,0.1103
GO:0010942,positive regulation of cell death,8,1,0.02,0.1103
GO:0030162,regulation of proteolysis,8,1,0.02,0.1103
GO:0032870,cellular response to hormone stimulus,8,1,0.02,0.1103
GO:0043065,positive regulation of apoptotic process,8,1,0.02,0.1103
GO:0043068,positive regulation of programmed cell d...,8,1,0.02,0.1103
GO:0050801,ion homeostasis,8,1,0.02,0.1103
GO:0055065,metal ion homeostasis,8,1,0.02,0.1103
GO:0055080,cation homeostasis,8,1,0.02,0.1103
GO:0098771,inorganic ion homeostasis,8,1,0.02,0.1103
GO:0007409,axonogenesis,9,1,0.03,0.1232
GO:0007411,axon guidance,9,1,0.03,0.1232
GO:0009991,response to extracellular stimulus,9,1,0.03,0.1232
GO:0031667,response to nutrient levels,9,1,0.03,0.1232
GO:0009617,response to bacterium,10,1,0.03,0.1359
GO:0030155,regulation of cell adhesion,10,1,0.03,0.1359
GO:0035303,regulation of dephosphorylation,10,1,0.03,0.1359
GO:0035306,positive regulation of dephosphorylation,10,1,0.03,0.1359
GO:0051240,positive regulation of multicellular org...,10,1,0.03,0.1359
GO:0061564,axon development,10,1,0.03,0.1359
GO:0007015,actin filament organization,11,1,0.03,0.1484
GO:0009887,animal organ morphogenesis,11,1,0.03,0.1484
GO:0001667,ameboidal-type cell migration,12,1,0.03,0.1608
GO:0007423,sensory organ development,12,1,0.03,0.1608
GO:0010594,regulation of endothelial cell migration,12,1,0.03,0.1608
GO:0010596,negative regulation of endothelial cell ...,12,1,0.03,0.1608
GO:0010631,epithelial cell migration,12,1,0.03,0.1608
GO:0010632,regulation of epithelial cell migration,12,1,0.03,0.1608
GO:0010633,negative regulation of epithelial cell m...,12,1,0.03,0.1608
GO:0016525,negative regulation of angiogenesis,12,1,0.03,0.1608
GO:0030336,negative regulation of cell migration,12,1,0.03,0.1608
GO:0034097,response to cytokine,12,1,0.03,0.1608
GO:0040013,negative regulation of locomotion,12,1,0.03,0.1608
GO:0043542,endothelial cell migration,12,1,0.03,0.1608
GO:0045765,regulation of angiogenesis,12,1,0.03,0.1608
GO:0051271,negative regulation of cellular componen...,12,1,0.03,0.1608
GO:0071345,cellular response to cytokine stimulus,12,1,0.03,0.1608
GO:0090130,tissue migration,12,1,0.03,0.1608
GO:0090132,epithelium migration,12,1,0.03,0.1608
GO:1901342,regulation of vasculature development,12,1,0.03,0.1608
GO:1901343,negative regulation of vasculature devel...,12,1,0.03,0.1608
GO:2000146,negative regulation of cell motility,12,1,0.03,0.1608
GO:2000181,negative regulation of blood vessel morp...,12,1,0.03,0.1608
GO:0009605,response to external stimulus,50,2,0.14,0.1633
GO:0009611,response to wounding,13,1,0.04,0.1730
GO:0051270,regulation of cellular component movemen...,52,2,0.14,0.1736
GO:0002684,positive regulation of immune system pro...,15,1,0.04,0.1968
GO:0022603,regulation of anatomical structure morph...,15,1,0.04,0.1968
GO:0055082,cellular chemical homeostasis,15,1,0.04,0.1968
GO:0048878,chemical homeostasis,16,1,0.04,0.2084
GO:0030036,actin cytoskeleton organization,17,1,0.05,0.2199
GO:0001525,angiogenesis,18,1,0.05,0.2313
GO:0001568,blood vessel development,18,1,0.05,0.2313
GO:0001944,vasculature development,18,1,0.05,0.2313
GO:0006508,proteolysis,18,1,0.05,0.2313
GO:0048514,blood vessel morphogenesis,18,1,0.05,0.2313
GO:0006793,phosphorus metabolic process,63,2,0.18,0.2318
GO:0006796,phosphate-containing compound metabolic ...,63,2,0.18,0.2318
GO:0019725,cellular homeostasis,19,1,0.05,0.2424
GO:0032989,cellular component morphogenesis,19,1,0.05,0.2424
GO:0032990,cell part morphogenesis,19,1,0.05,0.2424
GO:0048667,cell morphogenesis involved in neuron di...,19,1,0.05,0.2424
GO:0048812,neuron projection morphogenesis,19,1,0.05,0.2424
GO:0048858,cell projection morphogenesis,19,1,0.05,0.2424
GO:0051093,negative regulation of developmental pro...,19,1,0.05,0.2424
GO:0097485,neuron projection guidance,19,1,0.05,0.2424
GO:0120039,plasma membrane bounded cell projection ...,19,1,0.05,0.2424
GO:0048519,negative regulation of biological proces...,65,2,0.18,0.2425
GO:0000904,cell morphogenesis involved in different...,20,1,0.06,0.2534
GO:0008285,negative regulation of cell population p...,20,1,0.06,0.2534
GO:0031175,neuron projection development,20,1,0.06,0.2534
GO:0042592,homeostatic process,20,1,0.06,0.2534
GO:0048666,neuron development,20,1,0.06,0.2534
GO:2000026,regulation of multicellular organismal d...,20,1,0.06,0.2534
GO:0000902,cell morphogenesis,21,1,0.06,0.2643
GO:0010647,positive regulation of cell communicatio...,21,1,0.06,0.2643
GO:0023056,positive regulation of signaling,21,1,0.06,0.2643
GO:0030182,neuron differentiation,21,1,0.06,0.2643
GO:0009607,response to biotic stimulus,22,1,0.06,0.2750
GO:0043207,response to external biotic stimulus,22,1,0.06,0.2750
GO:0051707,response to other organism,22,1,0.06,0.2750
GO:0042127,regulation of cell population proliferat...,23,1,0.06,0.2855
GO:0051241,negative regulation of multicellular org...,23,1,0.06,0.2855
GO:0042981,regulation of apoptotic process,24,1,0.07,0.2959
GO:0043067,regulation of programmed cell death,24,1,0.07,0.2959
GO:0048646,anatomical structure formation involved ...,24,1,0.07,0.2959
GO:0051336,regulation of hydrolase activity,24,1,0.07,0.2959
GO:0051345,positive regulation of hydrolase activit...,24,1,0.07,0.2959
GO:0022008,neurogenesis,25,1,0.07,0.3061
GO:0048468,cell development,25,1,0.07,0.3061
GO:0048699,generation of neurons,25,1,0.07,0.3061
GO:0072359,circulatory system development,25,1,0.07,0.3061
GO:0051239,regulation of multicellular organismal p...,77,2,0.21,0.3072
GO:0010941,regulation of cell death,26,1,0.07,0.3162
GO:0035239,tube morphogenesis,26,1,0.07,0.3162
GO:0043085,positive regulation of catalytic activit...,26,1,0.07,0.3162
GO:0044419,biological process involved in interspec...,26,1,0.07,0.3162
GO:0006935,chemotaxis,27,1,0.08,0.3262
GO:0042330,taxis,27,1,0.08,0.3262
GO:0002682,regulation of immune system process,28,1,0.08,0.3360
GO:0042221,response to chemical,85,2,0.24,0.3498
GO:0032879,regulation of localization,86,2,0.24,0.3551
GO:0006355,regulation of transcription, DNA-templat...,32,1,0.09,0.3738
GO:0008283,cell population proliferation,32,1,0.09,0.3738
GO:1903506,regulation of nucleic acid-templated tra...,32,1,0.09,0.3738
GO:2001141,regulation of RNA biosynthetic process,32,1,0.09,0.3738
GO:0006915,apoptotic process,33,1,0.09,0.3829
GO:0012501,programmed cell death,33,1,0.09,0.3829
GO:0050793,regulation of developmental process,33,1,0.09,0.3829
GO:0002376,immune system process,35,1,0.1,0.4007
GO:0006351,transcription, DNA-templated,35,1,0.1,0.4007
GO:0008219,cell death,35,1,0.1,0.4007
GO:0032774,RNA biosynthetic process,35,1,0.1,0.4007
GO:0097659,nucleic acid-templated transcription,35,1,0.1,0.4007
GO:0001508,action potential,36,1,0.1,0.4095
GO:0006936,muscle contraction,36,1,0.1,0.4095
GO:0006937,regulation of muscle contraction,36,1,0.1,0.4095
GO:0035295,tube development,36,1,0.1,0.4095
GO:0035637,multicellular organismal signaling,36,1,0.1,0.4095
GO:0098900,regulation of action potential,36,1,0.1,0.4095
GO:2000112,regulation of cellular macromolecule bio...,36,1,0.1,0.4095
GO:0006464,cellular protein modification process,98,2,0.27,0.4170
GO:0036211,protein modification process,98,2,0.27,0.4170
GO:0019219,regulation of nucleobase-containing comp...,37,1,0.1,0.4181
GO:0051252,regulation of RNA metabolic process,37,1,0.1,0.4181
GO:0009653,anatomical structure morphogenesis,38,1,0.11,0.4265
GO:0043412,macromolecule modification,101,2,0.28,0.4321
GO:0018130,heterocycle biosynthetic process,39,1,0.11,0.4349
GO:0019438,aromatic compound biosynthetic process,39,1,0.11,0.4349
GO:0034654,nucleobase-containing compound biosynthe...,39,1,0.11,0.4349
GO:1901362,organic cyclic compound biosynthetic pro...,39,1,0.11,0.4349
GO:0044267,cellular protein metabolic process,104,2,0.29,0.4469
GO:0003012,muscle system process,41,1,0.11,0.4512
GO:0009889,regulation of biosynthetic process,41,1,0.11,0.4512
GO:0010556,regulation of macromolecule biosynthetic...,41,1,0.11,0.4512
GO:0031326,regulation of cellular biosynthetic proc...,41,1,0.11,0.4512
GO:0042391,regulation of membrane potential,41,1,0.11,0.4512
GO:0048513,animal organ development,41,1,0.11,0.4512
GO:0090257,regulation of muscle system process,41,1,0.11,0.4512
GO:0006812,cation transport,42,1,0.12,0.4592
GO:0098655,cation transmembrane transport,42,1,0.12,0.4592
GO:0098660,inorganic ion transmembrane transport,42,1,0.12,0.4592
GO:0098662,inorganic cation transmembrane transport,42,1,0.12,0.4592
GO:0019538,protein metabolic process,109,2,0.3,0.4711
GO:0009628,response to abiotic stimulus,44,1,0.12,0.4749
GO:0010646,regulation of cell communication,44,1,0.12,0.4749
GO:0014070,response to organic cyclic compound,44,1,0.12,0.4749
GO:0023051,regulation of signaling,44,1,0.12,0.4749
GO:0071407,cellular response to organic cyclic comp...,44,1,0.12,0.4749
GO:0007399,nervous system development,45,1,0.13,0.4825
GO:0010468,regulation of gene expression,45,1,0.13,0.4825
GO:0031401,positive regulation of protein modificat...,45,1,0.13,0.4825
GO:0044271,cellular nitrogen compound biosynthetic ...,45,1,0.13,0.4825
GO:0044057,regulation of system process,46,1,0.13,0.4901
GO:1901564,organonitrogen compound metabolic proces...,114,2,0.32,0.4947
GO:0006950,response to stress,47,1,0.13,0.4975
GO:0034645,cellular macromolecule biosynthetic proc...,47,1,0.13,0.4975
GO:0097435,supramolecular fiber organization,47,1,0.13,0.4975
GO:0023052,signaling,115,2,0.32,0.4994
GO:0010562,positive regulation of phosphorus metabo...,48,1,0.13,0.5048
GO:0045937,positive regulation of phosphate metabol...,48,1,0.13,0.5048
GO:0016070,RNA metabolic process,49,1,0.14,0.5121
GO:0007154,cell communication,119,2,0.33,0.5177
GO:0003008,system process,50,1,0.14,0.5192
GO:0043269,regulation of ion transport,50,1,0.14,0.5192
GO:0030029,actin filament-based process,51,1,0.14,0.5262
GO:0032270,positive regulation of cellular protein ...,51,1,0.14,0.5262
GO:0051247,positive regulation of protein metabolic...,51,1,0.14,0.5262
GO:0009059,macromolecule biosynthetic process,52,1,0.14,0.5331
GO:0034220,ion transmembrane transport,53,1,0.15,0.5399
GO:0055085,transmembrane transport,53,1,0.15,0.5399
GO:0007010,cytoskeleton organization,54,1,0.15,0.5466
GO:0019220,regulation of phosphate metabolic proces...,54,1,0.15,0.5466
GO:0051174,regulation of phosphorus metabolic proce...,54,1,0.15,0.5466
GO:0030154,cell differentiation,55,1,0.15,0.5533
GO:0048523,negative regulation of cellular process,57,1,0.16,0.5662
GO:1901701,cellular response to oxygen-containing c...,57,1,0.16,0.5662
GO:1901576,organic substance biosynthetic process,58,1,0.16,0.5725
GO:1901700,response to oxygen-containing compound,58,1,0.16,0.5725
GO:0022607,cellular component assembly,59,1,0.16,0.5788
GO:0044249,cellular biosynthetic process,59,1,0.16,0.5788
GO:0051173,positive regulation of nitrogen compound...,59,1,0.16,0.5788
GO:0009058,biosynthetic process,60,1,0.17,0.5849
GO:0009719,response to endogenous stimulus,60,1,0.17,0.5849
GO:0030030,cell projection organization,60,1,0.17,0.5849
GO:0031399,regulation of protein modification proce...,60,1,0.17,0.5849
GO:0044085,cellular component biogenesis,60,1,0.17,0.5849
GO:0048869,cellular developmental process,60,1,0.17,0.5849
GO:0050790,regulation of catalytic activity,60,1,0.17,0.5849
GO:0051049,regulation of transport,60,1,0.17,0.5849
GO:0071495,cellular response to endogenous stimulus,60,1,0.17,0.5849
GO:0090304,nucleic acid metabolic process,60,1,0.17,0.5849
GO:0120036,plasma membrane bounded cell projection ...,60,1,0.17,0.5849
GO:0044260,cellular macromolecule metabolic process,135,2,0.38,0.5864
GO:0010467,gene expression,61,1,0.17,0.5910
GO:0032501,multicellular organismal process,137,2,0.38,0.5944
GO:0006807,nitrogen compound metabolic process,138,2,0.38,0.5984
GO:0006928,movement of cell or subcellular componen...,138,2,0.38,0.5984
GO:0051716,cellular response to stimulus,142,2,0.4,0.6141
GO:0006139,nucleobase-containing compound metabolic...,65,1,0.18,0.6144
GO:0006725,cellular aromatic compound metabolic pro...,65,1,0.18,0.6144
GO:0046483,heterocycle metabolic process,65,1,0.18,0.6144
GO:1901360,organic cyclic compound metabolic proces...,65,1,0.18,0.6144
GO:0043170,macromolecule metabolic process,143,2,0.4,0.6179
GO:0031325,positive regulation of cellular metaboli...,66,1,0.18,0.6200
GO:0044093,positive regulation of molecular functio...,66,1,0.18,0.6200
GO:0009893,positive regulation of metabolic process,67,1,0.19,0.6256
GO:0010604,positive regulation of macromolecule met...,67,1,0.19,0.6256
GO:0032268,regulation of cellular protein metabolic...,67,1,0.19,0.6256
GO:0051246,regulation of protein metabolic process,67,1,0.19,0.6256
GO:0070887,cellular response to chemical stimulus,67,1,0.19,0.6256
GO:0071310,cellular response to organic substance,67,1,0.19,0.6256
GO:0044238,primary metabolic process,146,2,0.41,0.6293
GO:0010033,response to organic substance,68,1,0.19,0.6311
GO:0050794,regulation of cellular process,148,2,0.41,0.6367
GO:0050896,response to stimulus,148,2,0.41,0.6367
GO:0034641,cellular nitrogen compound metabolic pro...,70,1,0.2,0.6418
GO:0016043,cellular component organization,150,2,0.42,0.6440
GO:0044237,cellular metabolic process,151,2,0.42,0.6477
GO:0071840,cellular component organization or bioge...,151,2,0.42,0.6477
GO:0071704,organic substance metabolic process,153,2,0.43,0.6548
GO:0008152,metabolic process,155,2,0.43,0.6618
GO:0050789,regulation of biological process,156,2,0.43,0.6653
GO:0065009,regulation of molecular function,76,1,0.21,0.6721
GO:0007275,multicellular organism development,79,1,0.22,0.6863
GO:0048731,system development,79,1,0.22,0.6863
GO:0051171,regulation of nitrogen compound metaboli...,83,1,0.23,0.7043
GO:0065007,biological regulation,172,2,0.48,0.7170
GO:0006811,ion transport,86,1,0.24,0.7171
GO:0048518,positive regulation of biological proces...,88,1,0.25,0.7253
GO:0048522,positive regulation of cellular process,88,1,0.25,0.7253
GO:0051649,establishment of localization in cell,88,1,0.25,0.7253
GO:0080090,regulation of primary metabolic process,89,1,0.25,0.7294
GO:0031323,regulation of cellular metabolic process,90,1,0.25,0.7333
GO:0051179,localization,178,2,0.5,0.7346
GO:0048856,anatomical structure development,93,1,0.26,0.7449
GO:0060255,regulation of macromolecule metabolic pr...,97,1,0.27,0.7596
GO:0019222,regulation of metabolic process,99,1,0.28,0.7666
GO:0032502,developmental process,100,1,0.28,0.7700
GO:0065008,regulation of biological quality,106,1,0.3,0.7896
GO:0007165,signal transduction,109,1,0.3,0.7987
GO:0051641,cellular localization,110,1,0.31,0.8017
GO:0006810,transport,141,1,0.39,0.8749
GO:0051234,establishment of localization,141,1,0.39,0.8749
GO:0006996,organelle organization,142,1,0.4,0.8767
GO:0009987,cellular process,289,2,0.81,0.9267
GO:0008150,biological_process,315,2,0.88,0.9469
GO:0000003,reproduction,31,0,0.09,1.0000
GO:0000045,autophagosome assembly,2,0,0.01,1.0000
GO:0000075,cell cycle checkpoint,3,0,0.01,1.0000
GO:0000076,DNA replication checkpoint,2,0,0.01,1.0000
GO:0000077,DNA damage checkpoint,3,0,0.01,1.0000
GO:0000086,G2/M transition of mitotic cell cycle,45,0,0.13,1.0000
GO:0000122,negative regulation of transcription by ...,13,0,0.04,1.0000
GO:0000165,MAPK cascade,48,0,0.13,1.0000
GO:0000183,rDNA heterochromatin assembly,8,0,0.02,1.0000
GO:0000209,protein polyubiquitination,6,0,0.02,1.0000
GO:0000226,microtubule cytoskeleton organization,37,0,0.1,1.0000
GO:0000271,polysaccharide biosynthetic process,4,0,0.01,1.0000
GO:0000272,polysaccharide catabolic process,4,0,0.01,1.0000
GO:0000278,mitotic cell cycle,53,0,0.15,1.0000
GO:0000280,nuclear division,3,0,0.01,1.0000
GO:0000281,mitotic cytokinesis,1,0,0,1.0000
GO:0000302,response to reactive oxygen species,5,0,0.01,1.0000
