,Sample,X,PRVial,Round,Site.x,Habitat,Spp,Bag,Rep.x,FAvial,FinalHeight,topValve,bothValves,TissueMass,shellThick,peakLoad,Strength,delC,C.perc,delN,N.perc,CN.ratio
16,A064,494,O22,1,CI,B,P,3,2,A022,26.15,0.475,1.210,0.025,0.6,44.534,1.13,,,,,
,,,O24,1,FB,E,P,3,1,A039,34.81,0.6057,1.6072,0.2086,0.6,13.815,13.045,,,,,
,,,O26,1,PG,B,P,1,3,A108,31.01,0.604,1.909,0.2142,0.8,109.353,99.113,,,,,
,,,O30,1,PG,E,P,2,1,A034,34.17,0.834,2.264,0.2297,,,,-18.93,41.63,8.05,6.46,6.443
,,,O31,1,PG,E,P,2,3,A113,34.77,0.654,1.989,0.1404,0.6,68.836,68.836,,,,,
,,,O32,1,FB,E,P,3,3,A040,43,0.847,2.483,0.1597,NA,NA,NA,,,,,
,,,O35,1,FB,B,P,6,1,A044,32.39,0.527,1.537,0.2879,0.8,80.913,80.913,,,,,
,,,O39,1,FB,B,P,6,5,A048,36.68,0.771,2.023,0.1447,0.7,76.624,48.899,,,,,
,,,O40,1,FB,B,P,4,1,A049,32.96,0.6626,2.0006,0.2936,1,65.972,0.065972,-19.47,38.64,8.03,6.42,6.015
,,,O43,1,FB,B,P,4,4,A052,34.46,0.606,1.755,0.1764,0.5,33.666,10.228,,,,,
14,A054,489,O46,1,FB,E,P,1,2,A025,38.62,0.659,2.016,0.2545,NA,NA,NA,,,,,
6,A021,239,O49,1,FB,E,P,1,5,A028,51.72,0.967,2.854,0.4105,NA,NA,NA,,,,,
,,,O51,1,PG,B,P,6,5,A099,31.71,0.720,2.199,0.1749,,,,-21.58,38.92,8.16,7.42,5.244
,,,O52,1,PG,B,P,1,2,A109,36.07,0.717,2.273,0.201,0.8,71.28,5.385,,,,,
,,,O56,1,PG,E,P,5,1,A088,28.93,0.392,1.231,0.1197,0.6,33.649,0.875,,,,,
,,,O60,1,PG,B,P,6,2,A103,34.33,1.067,3.343,0.2205,1.2,138.816,104.308,,,,,
1,A001,249,O64,1,FB,E,P,5,2,A029,39.18,1.479,3.268,0.1639,0.5,23.51,1.24,,,,,
2,A004,252,O66,1,FB,B,P,5,5,A037,29.75,0.417,1.398,0.2253,0.6,54.239,1.51,,,,,
,,,O71,1,PG,E,P,3,1,A093,32,0.563,1.666,0.1864,0.7,52.309,1.85,,,,,
,,,O78,1,PG,E,P,5,5,A096,36.26,0.724,2.048,0.1717,0.8,28.81,0.742,,,,,
,,,O91,1,SK,E,P,2,1,A054,33.28,0.560,1.731,0.0745,0.5,29.83,0.05966,-21.51,39.36,8.8,9.08,4.336
,,,O96,1,SK,B,P,3,1,A059,33.86,0.499,1.558,0.0649,,,,-22.02,39.21,9.29,9.77,4.015
,,,O99,1,SK,B,P,3,4,A062,29.71,0.561,1.606,0.0631,1,71.849,44.709,,,,,
