Sample_Name,Species,Ploidy,Size_Classification,Tissue,Sample_Date,Experimental_Treatment,Treatment_Time(weeks),pH
12_Gills,C.gigas,3N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
12_Gonad,C.gigas,3N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
01_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
01_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
01_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
02_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
03_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
04_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
05_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
06_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
07_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
08_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
09_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
10_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
11_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
12_Mantle,C.gigas,2N,Adult,Mantle,20200815,Low_pH/High_pC02,6,7.7-7.8
12_Gills,C.gigas,2N,Adult,Gill,20200815,Low_pH/High_pC02,6,7.7-7.8
12_Gonad,C.gigas,2N,Adult,Gonad,20200815,Low_pH/High_pC02,6,7.7-7.8
1,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
2,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
3,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
4,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
5,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
6,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
7,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
8,C.gigas,3N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
1,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
2,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
3,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
4,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
5,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
6,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
7,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
8,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
9,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
10,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
11,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
12,C.gigas,2N,Spat,Whole_Animal,8/17/2020,Low_pH/High_pC02,6,7.7-7.8
