Category	Term		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032731	positive regulation of interleukin-1 beta production	2	6.25	0.014859289	"P42930, P04792"	32	5	10371	129.6375	0.999357832	0.23833364	19.34868013
GOTERM_BP_DIRECT	GO:0014902	myotube differentiation	2	6.25	0.014859289	"P16056, Q9WV60"	32	5	10371	129.6375	0.999357832	0.23833364	19.34868013
GOTERM_BP_DIRECT	GO:0032496	response to lipopolysaccharide	3	9.375	0.019920255	"P53563, P04179, P00184"	32	73	10371	13.31892123	0.99994879	0.297311821	25.09994416
GOTERM_BP_DIRECT	GO:0001836	release of cytochrome c from mitochondria	2	6.25	0.023672058	"P53563, P04179"	32	8	10371	81.0234375	0.999992211	0.333431542	29.11461364
GOTERM_BP_DIRECT	GO:0043536	positive regulation of blood vessel endothelial cell migration	2	6.25	0.026592656	"P42930, P04792"	32	9	10371	72.02083333	0.999998211	0.356687604	32.10024977
GOTERM_BP_DIRECT	GO:0035902	response to immobilization stress	2	6.25	0.026592656	"P04179, P00184"	32	9	10371	72.02083333	0.999998211	0.356687604	32.10024977
GOTERM_BP_DIRECT	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	2	6.25	0.0295048	"P42930, P04792"	32	10	10371	64.81875	0.999999589	0.37771102	34.96040379
GOTERM_BP_DIRECT	GO:0046688	response to copper ion	2	6.25	0.0295048	"P08228, Q08420"	32	10	10371	64.81875	0.999999589	0.37771102	34.96040379
GOTERM_BP_DIRECT	GO:0055093	response to hyperoxia	2	6.25	0.0295048	"P04179, P00184"	32	10	10371	64.81875	0.999999589	0.37771102	34.96040379
GOTERM_BP_DIRECT	GO:0032094	response to food	2	6.25	0.032408511	"P00184, P05370"	32	11	10371	58.92613636	0.999999906	0.396798748	37.70033816
GOTERM_BP_DIRECT	GO:0019226	transmission of nerve impulse	2	6.25	0.032408511	"Q14831, P08228"	32	11	10371	58.92613636	0.999999906	0.396798748	37.70033816
GOTERM_BP_DIRECT	GO:0042744	hydrogen peroxide catabolic process	2	6.25	0.032408511	"A4IGL7, P30044"	32	11	10371	58.92613636	0.999999906	0.396798748	37.70033816
GOTERM_BP_DIRECT	GO:0010800	positive regulation of peptidyl-threonine phosphorylation	2	6.25	0.035303813	"P16056, Q9WV60"	32	12	10371	54.015625	0.999999978	0.4141985	40.32509513
GOTERM_BP_DIRECT	GO:0071901	negative regulation of protein serine/threonine kinase activity	2	6.25	0.035303813	"P42930, P04792"	32	12	10371	54.015625	0.999999978	0.4141985	40.32509513
GOTERM_BP_DIRECT	GO:0006801	superoxide metabolic process	2	6.25	0.035303813	"P04179, P08228"	32	12	10371	54.015625	0.999999978	0.4141985	40.32509513
GOTERM_BP_DIRECT	GO:0051602	response to electrical stimulus	2	6.25	0.038190731	"P53563, P04179"	32	13	10371	49.86057692	0.999999995	0.430118371	42.83950592
GOTERM_BP_DIRECT	GO:0035924	cellular response to vascular endothelial growth factor stimulus	2	6.25	0.038190731	"P42930, P04792"	32	13	10371	49.86057692	0.999999995	0.430118371	42.83950592
GOTERM_BP_DIRECT	GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	2	6.25	0.04680141	"P42930, P04792"	32	16	10371	40.51171875	1	0.489527069	49.76599057
GOTERM_BP_DIRECT	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2	6.25	0.04680141	"P53563, Q9WV60"	32	16	10371	40.51171875	1	0.489527069	49.76599057
GOTERM_BP_DIRECT	GO:0045429	positive regulation of nitric oxide biosynthetic process	2	6.25	0.055337466	"Q90474, P04179"	32	19	10371	34.11513158	1	0.539953702	55.85480566
GOTERM_BP_DIRECT	GO:0040014	regulation of multicellular organism growth	2	6.25	0.058166343	"P08228, P05370"	32	20	10371	32.409375	1	0.548528146	57.71610256
GOTERM_BP_DIRECT	GO:0046677	response to antibiotic	2	6.25	0.058166343	"P08228, P00184"	32	20	10371	32.409375	1	0.548528146	57.71610256
GOTERM_BP_DIRECT	GO:0070527	platelet aggregation	2	6.25	0.058166343	"P42930, P04792"	32	20	10371	32.409375	1	0.548528146	57.71610256
GOTERM_BP_DIRECT	GO:0048678	response to axon injury	2	6.25	0.058166343	"P04179, P08228"	32	20	10371	32.409375	1	0.548528146	57.71610256
GOTERM_BP_DIRECT	GO:0050900	leukocyte migration	2	6.25	0.063799524	"Q90474, O57521"	32	22	10371	29.46306818	1	0.573365963	61.20705636
GOTERM_BP_DIRECT	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	2	6.25	0.063799524	"O95831, Q9WV60"	32	22	10371	29.46306818	1	0.573365963	61.20705636
GOTERM_BP_DIRECT	GO:0001541	ovarian follicle development	2	6.25	0.066603874	"P53563, P08228"	32	23	10371	28.18206522	1	0.580107091	62.84315064
GOTERM_BP_DIRECT	GO:0072593	reactive oxygen species metabolic process	2	6.25	0.066603874	"P16056, P08228"	32	23	10371	28.18206522	1	0.580107091	62.84315064
GOTERM_BP_DIRECT	GO:0030534	adult behavior	2	6.25	0.069400094	"Q14831, P16056"	32	24	10371	27.0078125	1	0.586413951	64.41039099
GOTERM_BP_DIRECT	GO:0051402	neuron apoptotic process	2	6.25	0.074968233	"P53563, O95831"	32	26	10371	24.93028846	1	0.606716964	67.34975442
GOTERM_BP_DIRECT	GO:0048661	positive regulation of smooth muscle cell proliferation	2	6.25	0.077740199	"Q9WV60, P56524"	32	27	10371	24.00694444	1	0.61174407	68.72730194
GOTERM_BP_DIRECT	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	2	6.25	0.077740199	"P53563, P04179"	32	27	10371	24.00694444	1	0.61174407	68.72730194
GOTERM_BP_DIRECT	GO:0008283	cell proliferation	3	9.375	0.085778091	"P53563, Q9WV60, P00184"	32	164	10371	5.928544207	1	0.640859896	72.42218966
GOTERM_BP_DIRECT	GO:0033138	positive regulation of peptidyl-serine phosphorylation	2	6.25	0.088747893	"P16056, Q9WV60"	32	31	10371	20.90927419	1	0.645510923	73.68139775
GOTERM_BP_DIRECT	GO:0070301	cellular response to hydrogen peroxide	2	6.25	0.094203954	"O95831, P42930"	32	33	10371	19.64204545	1	0.660254161	75.85647531
GOTERM_BP_DIRECT	GO:0030317	sperm motility	2	6.25	0.099628394	"P16056, P31689"	32	35	10371	18.51964286	1	0.673786328	77.85216569
GOTERM_BP_DIRECT	GO:0008217	regulation of blood pressure	2	6.25	0.099628394	"P04179, P08228"	32	35	10371	18.51964286	1	0.673786328	77.85216569
