,chr,pos,stat,pvals,fdrs
3123339,NC_047561.1,26120834,6.00058062025834,1.96613200467749e-09,0.000454099538673836
3123371,NC_047561.1,26123058,6.85246956710027,7.25858320543466e-12,4.65680172085763e-06
3128239,NC_047561.1,26374465,5.8121430980594,6.16780809960699e-09,0.00104744284044132
3170706,NC_047561.1,28629332,5.3986691846517,6.71370385561038e-08,0.00540196035767749
3175743,NC_047561.1,28907926,5.29876245060042,1.16590200715322e-07,0.00782784099557654
3178447,NC_047561.1,29067202,5.98312129719388,2.18901625078985e-09,0.000486131803688845
3178449,NC_047561.1,29067206,5.99002166552779,2.09813085338356e-09,0.000475084417931373
3178450,NC_047561.1,29067212,5.47672716756618,4.33264454449479e-08,0.00396499339178906
3317671,NC_047561.1,36235176,5.43660501813309,5.43053371833919e-08,0.00461117918325962
3395807,NC_047561.1,40362698,5.60906544824358,2.03422090534591e-08,0.00237285560469026
3587984,NC_047561.1,50259518,5.4053268818557,6.46903058715066e-08,0.00529820165877525
3619294,NC_047561.1,51844513,5.61457913886833,1.97041233629868e-08,0.00232187820278649
3663618,NC_047561.1,54056734,-5.56456955582567,2.62800291628684e-08,0.0028625987131691
3820531,NC_047562.1,3686077,7.21890553613015,5.24076428409237e-13,7.56507141319536e-07
3820533,NC_047562.1,3686118,7.06660030049799,1.58775423477861e-12,1.66685947060505e-06
3820534,NC_047562.1,3686124,5.90324368523465,3.56423199211668e-09,0.000705440259045775
3826916,NC_047562.1,3992234,5.3119858140322,1.08437046592676e-07,0.00761239565052507
3832823,NC_047562.1,4312016,5.2514716982711,1.5088872044044e-07,0.00978915411157965
3832825,NC_047562.1,4312490,5.82354944385002,5.76107598414136e-09,0.000992972435688533
4013497,NC_047562.1,13501413,-6.3480629825318,2.18042820913901e-10,7.82572235810588e-05
4089359,NC_047562.1,17129038,-5.51962747365215,3.39719079177144e-08,0.00332465299513395
4169760,NC_047562.1,20972631,-5.3148192012813,1.06763277350951e-07,0.00756384612067307
4400628,NC_047562.1,32968179,-5.57137094387429,2.52742551601311e-08,0.0028625987131691
4542712,NC_047562.1,40293232,5.66556850995613,1.46537859393509e-08,0.00198508507812865
4870420,NC_047563.1,3904255,-5.50558003824606,3.67954738175179e-08,0.00354096428208392
4870421,NC_047563.1,3904287,-6.06124274742291,1.35073792767346e-09,0.000346630659344535
4920381,NC_047563.1,6395389,5.61862527593072,1.92482806798201e-08,0.00229154611305806
5224564,NC_047563.1,21751641,5.55655343718145,2.7515351056605e-08,0.0028625987131691
5455667,NC_047563.1,33073757,6.45352301866138,1.09279394530952e-10,4.67393758169406e-05
5595243,NC_047563.1,40253886,5.90140642164861,3.60415832221102e-09,0.000705440259045775
5642866,NC_047563.1,42722015,-5.83440672054,5.39822972094784e-09,0.00094453013547551
5698502,NC_047563.1,45572004,5.45249895172585,4.96668651173418e-08,0.00431244431616739
5712081,NC_047563.1,46190078,5.66161837383922,1.49952011588941e-08,0.00198508507812865
5735210,NC_047563.1,47258649,6.034744196952,1.59214694516123e-09,0.000391195348617883
5767334,NC_047563.1,48986245,-5.38076056316654,7.41717947316501e-08,0.00571026049965513
6175947,NC_047563.1,69813413,-5.35447494545492,8.58052085939367e-08,0.00640938881787035
6280568,NC_047564.1,1367635,5.94330210151216,2.793369383894e-09,0.000597369440001692
6463085,NC_047564.1,10653429,-6.92063795816742,4.49614214370662e-12,3.24510267560226e-06
6495226,NC_047564.1,12223329,-5.54070036761079,3.01264312378191e-08,0.00310626181581141
6495392,NC_047564.1,12232305,-5.48484979804085,4.13820873609811e-08,0.00385388809898682
6495393,NC_047564.1,12232320,-7.60019133910798,2.95693224236137e-14,8.53669517071887e-08
6495394,NC_047564.1,12232328,-5.49506391747446,3.90568927412542e-08,0.00369697276083927
6495398,NC_047564.1,12232685,-6.23552840600398,4.50255636006219e-10,0.000144432540155338
6639465,NC_047564.1,19499502,5.56519172254667,2.61864339234298e-08,0.0028625987131691
6705737,NC_047564.1,23049738,5.59739161215942,2.17600807195253e-08,0.00251286347832549
6773067,NC_047564.1,26637075,-5.83901957477859,5.25089007716294e-09,0.00094453013547551
6871207,NC_047564.1,31732003,-5.31033130262663,1.09426132028359e-07,0.00761239565052507
6871494,NC_047564.1,31752912,-5.50816293820211,3.6259771502792e-08,0.00351873445785224
6876926,NC_047564.1,32019304,5.46979549519372,4.50555150833484e-08,0.00405234566572795
6970988,NC_047564.1,36893052,7.19514101350704,6.23962448575443e-13,8.00616131837168e-07
6970989,NC_047564.1,36893098,5.29438143735653,1.19419937486335e-07,0.00797148308178907
7466203,NC_047565.1,2495929,5.53015173579812,3.19953910139321e-08,0.00320926987592852
7470899,NC_047565.1,2751626,5.6191428886929,1.91907097482133e-08,0.00229154611305806
7701470,NC_047565.1,14899959,5.40953098693509,6.31900170909466e-08,0.00521229310383561
7943302,NC_047565.1,27610828,5.47959421214516,4.26302406351085e-08,0.00393836681563664
7958493,NC_047565.1,28400115,5.38651992775338,7.18349680536463e-08,0.00564321972780363
7960957,NC_047565.1,28558439,5.46515156798404,4.62511437746891e-08,0.00407717707717017
8201813,NC_047565.1,41071596,7.72826159707697,1.09025127431436e-14,4.19675619886236e-08
8247000,NC_047565.1,43573693,5.94570187228242,2.75274761884546e-09,0.000597369440001692
8254870,NC_047565.1,44039363,5.66011656896114,1.51270208186202e-08,0.00198508507812865
8254871,NC_047565.1,44039365,6.61092649880881,3.8192209273387e-11,1.91758815197423e-05
8254872,NC_047565.1,44039379,6.18596400896037,6.17240904138234e-10,0.000170309795446448
8254873,NC_047565.1,44039381,6.2626624387552,3.78459300358908e-10,0.000124870407836988
8254874,NC_047565.1,44039405,6.66682230413801,2.6140126357721e-11,1.43746334859236e-05
8254875,NC_047565.1,44039407,6.00286145583553,1.9387003885048e-09,0.000454099538673836
8254876,NC_047565.1,44039421,6.81359668740473,9.51883305380581e-12,5.78546807448267e-06
8254877,NC_047565.1,44039435,6.18540983882371,6.1941329875121e-10,0.000170309795446448
8288760,NC_047565.1,45816109,5.56031475552429,2.69288544837326e-08,0.0028625987131691
8337448,NC_047565.1,48259946,5.42561938415081,5.77539119842948e-08,0.00483293231168733
8638487,NC_047566.1,1757461,5.71472314805015,1.09882770261509e-08,0.00164796228044029
8672913,NC_047566.1,3328580,5.7505850306505,8.89351602830892e-09,0.00140688637693289
8672914,NC_047566.1,3328582,5.48787109655462,4.06806744226931e-08,0.00381936729676634
8672980,NC_047566.1,3331170,5.92003538566833,3.21872357024517e-09,0.000663749253469727
8716447,NC_047566.1,5518917,5.70099785562646,1.19108134762294e-08,0.00172802501044195
8863295,NC_047566.1,12856303,5.55702199740494,2.74416188831711e-08,0.0028625987131691
8921489,NC_047566.1,15683888,6.203296146776,5.52926489529047e-10,0.000159630471923012
8921511,NC_047566.1,15685674,6.42211281711663,1.34395755251832e-10,5.17335986888546e-05
8921522,NC_047566.1,15686589,5.39803058820913,6.73763825075911e-08,0.00540196035767749
8921523,NC_047566.1,15686778,6.15336868076984,7.58541886995164e-10,0.000203713356472588
8921535,NC_047566.1,15687704,5.3501512946743,8.78807312531671e-08,0.00642310419862669
8921541,NC_047566.1,15688412,6.11255103711941,9.80509344211012e-10,0.000257340092473877
8921543,NC_047566.1,15688646,5.37039346768232,7.85650343072066e-08,0.00600842645348409
8921547,NC_047566.1,15688923,5.8664845314942,4.4513177291656e-09,0.000829096911984947
8921550,NC_047566.1,15688963,6.20479200162379,5.4769291563176e-10,0.000159630471923012
9215278,NC_047566.1,30263504,-5.52310509194724,3.33060380954536e-08,0.00328734666740116
9453341,NC_047566.1,42046415,5.87977289781717,4.10829751090692e-09,0.000777750759225346
9533180,NC_047566.1,46222062,5.2708139669624,1.35820078472988e-07,0.00901411555442208
9703566,NC_047566.1,54523863,5.71854415638668,1.07440598367952e-08,0.00163253769723532
9730385,NC_047566.1,55951764,5.49893974244903,3.82081664462533e-08,0.00364652519894621
9823161,NC_047567.1,2126189,5.52883143903183,3.22370903544183e-08,0.00320926987592852
9823162,NC_047567.1,2126201,5.93774077740731,2.88976468091597e-09,0.000606747759910889
9842625,NC_047567.1,3077162,-7.05221265961862,1.76094792695931e-12,1.69462519844058e-06
9869159,NC_047567.1,4491996,-8.18416799298385,2.7419136192539e-16,1.58318681887148e-09
9984804,NC_047567.1,10084068,-5.74204877903435,9.3537866871453e-09,0.00145970176859434
9984805,NC_047567.1,10084079,-8.31980205280505,8.81103384467419e-17,1.01750197712753e-09
10029628,NC_047567.1,12327178,-5.53498912481689,3.11247665866641e-08,0.00318079772484744
10029631,NC_047567.1,12327202,-5.35371482602628,8.61666245082914e-08,0.00640938881787035
10170760,NC_047567.1,19065310,-5.35168693314099,8.71380583191148e-08,0.00640938881787035
10170761,NC_047567.1,19065321,-5.63967405264239,1.7037236012441e-08,0.00213855145731324
10170777,NC_047567.1,19065854,-6.5469345619901,5.87300814925569e-11,2.82590627695646e-05
10170778,NC_047567.1,19065864,-5.83541359627398,5.36572973016276e-09,0.00094453013547551
10170780,NC_047567.1,19065947,-6.87282489792957,6.2942809941905e-12,4.27568397499969e-06
10170781,NC_047567.1,19065949,-6.5055695856832,7.73995448287408e-11,3.43774335331818e-05
10170782,NC_047567.1,19065951,-7.52859615898705,5.12887403779413e-14,1.1845691586006e-07
10170783,NC_047567.1,19065978,-5.6510190346044,1.59499426228393e-08,0.00206955756467507
10185485,NC_047567.1,19820785,5.53131987767064,3.17830122659219e-08,0.00320926987592852
10371040,NC_047567.1,28693636,-5.47559192976643,4.36051511721259e-08,0.00396499339178906
10425099,NC_047567.1,31501049,-5.70533535075097,1.16114251240967e-08,0.00171909277723524
10426536,NC_047567.1,31559112,-5.39594367751926,6.81643283550293e-08,0.00540196035767749
10426562,NC_047567.1,31559989,-5.56406562848667,2.63560750151741e-08,0.0028625987131691
10426564,NC_047567.1,31560004,-5.39559697661938,6.82960924392916e-08,0.00540196035767749
10426566,NC_047567.1,31560029,-5.55944074038538,2.706404669706e-08,0.0028625987131691
10426569,NC_047567.1,31560080,-6.21938694541365,4.99101084695261e-10,0.000153418492158999
10426571,NC_047567.1,31560110,-6.63667315854239,3.20841982181204e-11,1.68413500292444e-05
10426572,NC_047567.1,31560120,-6.21759298000929,5.04839019221002e-10,0.000153418492158999
10426573,NC_047567.1,31560150,-5.66409631588469,1.47801374781151e-08,0.00198508507812865
10564383,NC_047568.1,1060947,5.56179984011577,2.67006436675661e-08,0.0028625987131691
10614941,NC_047568.1,3689094,-5.46896295259961,4.52676346008501e-08,0.00405234566572795
10829095,NC_047568.1,14907881,5.38397327128036,7.28593276311344e-08,0.00568501789483397
10962922,NC_047568.1,22089264,5.62781113057695,1.82510766228847e-08,0.00224217252805709
11023676,NC_047568.1,25316672,5.46664492941699,4.5863345649144e-08,0.00407409144369368
11071278,NC_047568.1,27826391,5.33530842773959,9.53822857384999e-08,0.00688424210716552
11137292,NC_047568.1,31600449,-5.62535904391493,1.85122518770815e-08,0.00225031874424598
11180024,NC_047568.1,33784936,-6.37807637194318,1.79326088779888e-10,6.68021091694181e-05
11180025,NC_047568.1,33784941,-5.69250127306304,1.25191664876723e-08,0.00178483793733084
11183893,NC_047568.1,34026549,-6.44050045231312,1.19080200877831e-10,4.74187337995114e-05
11191283,NC_047568.1,34528505,5.91663346501508,3.28597847018103e-09,0.000665730187205697
11320118,NC_047568.1,41270184,-5.32373961351563,1.01655393730416e-07,0.00729143390050174
11475351,NC_047568.1,49659918,-5.31114204671891,1.08940374107322e-07,0.00761239565052507
11523694,NC_047568.1,52333625,6.98043504593969,2.9426738978126e-12,2.42729462192268e-06
11580662,NC_047568.1,55118104,-5.67884407122465,1.35608027171664e-08,0.00188675581798017
11580668,NC_047568.1,55118398,-7.25852502759126,3.91333989995519e-13,6.45591677689974e-07
11580669,NC_047568.1,55118454,-5.30641379575341,1.11802997222222e-07,0.00768515368720894
11718365,NW_022994785.1,78650,5.75836492588685,8.49325888167884e-09,0.0013622294274411
11850550,NW_022994816.1,646607,-5.26334324661125,1.41459121047435e-07,0.00928168188976124
11881265,NW_022994820.1,402802,7.29041453841456,3.09002767781469e-13,5.94729541576571e-07
11881267,NW_022994820.1,402873,5.31503970948148,1.06634070245459e-07,0.00756384612067307
11908168,NW_022994822.1,491804,5.76144884974821,8.33949374927937e-09,0.00135640609035084
12160995,NW_022994850.1,459494,5.64646332697796,1.63782082465022e-08,0.00207842036366551
12190325,NW_022994855.1,20301,5.33687629752869,9.45615063826349e-08,0.00686792667831096
12513537,NW_022994904.1,2423,5.43312384962201,5.53759443406659e-08,0.00466776486431836
